state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.29578948,0.09543859,-0.48022214","0.9779918,-0.96531755,-0.9720603","0.09339111,-0.1327262,-0.10442906,-0.39954373,-0.11466119,0.878672,-0.29578948,0.09543859,-0.48022214",0.0
"0.09339111,-0.1327262,-0.10442906,-0.39954373,-0.11466119,0.878672,-0.29578948,0.09543859,-0.48022214","0.12855351,-0.520863,-0.9588905","0.10566704,-0.2043422,-0.20744327,-0.6074044,-0.20326102,0.6705756,-0.29578948,0.09543859,-0.48022214",0.0
"0.10566704,-0.2043422,-0.20744327,-0.6074044,-0.20326102,0.6705756,-0.29578948,0.09543859,-0.48022214","-0.4543401,-0.9315077,-0.9616298","0.062280852,-0.33241975,-0.31075174,-0.8130115,-0.15523449,0.2829736,-0.29578948,0.09543859,-0.48022214",0.0
"0.062280852,-0.33241975,-0.31075174,-0.8130115,-0.15523449,0.2829736,-0.29578948,0.09543859,-0.48022214","-0.70402426,-0.9925835,-0.6532049","-0.004948355,-0.4688949,-0.38092595,-0.85656697,0.019106975,-0.10609895,-0.29578948,0.09543859,-0.48022214",0.0
"-0.004948355,-0.4688949,-0.38092595,-0.85656697,0.019106975,-0.10609895,-0.29578948,0.09543859,-0.48022214","-0.7806635,-0.94116086,-0.94017774","-0.079496056,-0.59829974,-0.4819298,-0.68880194,0.1816675,-0.4661866,-0.29578948,0.09543859,-0.48022214",0.0
"-0.079496056,-0.59829974,-0.4819298,-0.68880194,0.1816675,-0.4661866,-0.29578948,0.09543859,-0.48022214","-0.334444,-0.3359512,-0.91502386","-0.11143302,-0.6444914,-0.5802313,-0.5098531,0.19231927,-0.5827349,-0.29578948,0.09543859,-0.48022214",0.0
"-0.11143302,-0.6444914,-0.5802313,-0.5098531,0.19231927,-0.5827349,-0.29578948,0.09543859,-0.48022214","0.38436413,0.73989046,-0.9006876","-0.07472904,-0.5427603,-0.6769927,-0.47626927,0.11986644,-0.46742842,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07472904,-0.5427603,-0.6769927,-0.47626927,0.11986644,-0.46742842,-0.29578948,0.09543859,-0.48022214","-0.2089876,0.64994466,-0.92085767","-0.09468584,-0.4533963,-0.77592105,-0.38619408,0.12444729,-0.3734265,-0.29578948,0.09543859,-0.48022214",0.0
"-0.09468584,-0.4533963,-0.77592105,-0.38619408,0.12444729,-0.3734265,-0.29578948,0.09543859,-0.48022214","0.46359646,0.11482382,-0.83276737","-0.050415743,-0.4376087,-0.8653858,-0.2848962,0.0513676,-0.3430694,-0.29578948,0.09543859,-0.48022214",0.0
"-0.050415743,-0.4376087,-0.8653858,-0.2848962,0.0513676,-0.3430694,-0.29578948,0.09543859,-0.48022214","0.13303101,-0.24171662,-0.0044160485","-0.03771225,-0.47084352,-0.8658602,-0.27084947,0.03807076,-0.3657004,-0.29578948,0.09543859,-0.48022214",0.0
"-0.03771225,-0.47084352,-0.8658602,-0.27084947,0.03807076,-0.3657004,-0.29578948,0.09543859,-0.48022214","-0.18005419,-0.20676756,-0.031206965","-0.054906126,-0.4992731,-0.86921275,-0.2500491,0.049441412,-0.3822809,-0.29578948,0.09543859,-0.48022214",0.0
"-0.054906126,-0.4992731,-0.86921275,-0.2500491,0.049441412,-0.3822809,-0.29578948,0.09543859,-0.48022214","-0.26263523,-0.29811966,-0.12711614","-0.07998588,-0.54026306,-0.8828689,-0.2075913,0.05926788,-0.39675918,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07998588,-0.54026306,-0.8828689,-0.2075913,0.05926788,-0.39675918,-0.29578948,0.09543859,-0.48022214","-0.13317251,-0.30918062,0.4991665","-0.09270289,-0.58277386,-0.8292431,-0.24421044,0.079248205,-0.45949706,-0.29578948,0.09543859,-0.48022214",0.0
"-0.09270289,-0.58277386,-0.8292431,-0.24421044,0.079248205,-0.45949706,-0.29578948,0.09543859,-0.48022214","0.2644112,-0.034009814,0.1319704","-0.06745353,-0.58745015,-0.8150655,-0.26420274,0.06276304,-0.47175333,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06745353,-0.58745015,-0.8150655,-0.26420274,0.06276304,-0.47175333,-0.29578948,0.09543859,-0.48022214","0.1744026,-0.059738755,0.22532654","-0.05079935,-0.59566396,-0.79085857,-0.29220623,0.05289759,-0.49186006,-0.29578948,0.09543859,-0.48022214",0.0
"-0.05079935,-0.59566396,-0.79085857,-0.29220623,0.05289759,-0.49186006,-0.29578948,0.09543859,-0.48022214","-0.35012388,0.06592202,0.21000946","-0.08423364,-0.58660007,-0.7682971,-0.32027867,0.09278854,-0.4961416,-0.29578948,0.09543859,-0.48022214",0.0
"-0.08423364,-0.58660007,-0.7682971,-0.32027867,0.09278854,-0.4961416,-0.29578948,0.09543859,-0.48022214","0.037086964,0.23048186,-0.2781192","-0.080692105,-0.55491006,-0.79817563,-0.30409065,0.08476311,-0.45766428,-0.29578948,0.09543859,-0.48022214",0.0
"-0.080692105,-0.55491006,-0.79817563,-0.30409065,0.08476311,-0.45766428,-0.29578948,0.09543859,-0.48022214","-0.22196269,0.019814849,-0.12482929","-0.101887934,-0.55218565,-0.81158614,-0.28256533,0.09976688,-0.4491583,-0.29578948,0.09543859,-0.48022214",0.0
"-0.101887934,-0.55218565,-0.81158614,-0.28256533,0.09976688,-0.4491583,-0.29578948,0.09543859,-0.48022214","0.066533804,-0.03297454,-0.32200336","-0.09553444,-0.5567195,-0.8461792,-0.23898762,0.08002219,-0.4320455,-0.29578948,0.09543859,-0.48022214",0.0
"-0.09553444,-0.5567195,-0.8461792,-0.23898762,0.08002219,-0.4320455,-0.29578948,0.09543859,-0.48022214","-0.26406145,-0.13517636,0.40990376","-0.1207504,-0.5753056,-0.802143,-0.2733633,0.115211174,-0.47091323,-0.29578948,0.09543859,-0.48022214",0.0
"-0.1207504,-0.5753056,-0.802143,-0.2733633,0.115211174,-0.47091323,-0.29578948,0.09543859,-0.48022214","0.04782355,0.25236392,0.038065553","-0.11618359,-0.5406069,-0.79805356,-0.3016375,0.12146073,-0.44653872,-0.29578948,0.09543859,-0.48022214",0.0
"-0.11618359,-0.5406069,-0.79805356,-0.3016375,0.12146073,-0.44653872,-0.29578948,0.09543859,-0.48022214","0.20095038,0.049049854,-0.08837879","-0.09699428,-0.5338628,-0.8075481,-0.30029508,0.10051556,-0.43727243,-0.29578948,0.09543859,-0.48022214",0.0
"-0.09699428,-0.5338628,-0.8075481,-0.30029508,0.10051556,-0.43727243,-0.29578948,0.09543859,-0.48022214","0.20261848,0.044687867,-0.54226065","-0.0776457,-0.52771854,-0.86580354,-0.23537004,0.06454681,-0.4016717,-0.29578948,0.09543859,-0.48022214",0.0
"-0.0776457,-0.52771854,-0.86580354,-0.23537004,0.06454681,-0.4016717,-0.29578948,0.09543859,-0.48022214","-0.0737353,-0.21359318,-0.24414992","-0.08468688,-0.5570865,-0.89203274,-0.18721327,0.057018615,-0.3979234,-0.29578948,0.09543859,-0.48022214",0.0
"-0.08468688,-0.5570865,-0.89203274,-0.18721327,0.057018615,-0.3979234,-0.29578948,0.09543859,-0.48022214","0.24420762,-0.34277928,0.7449275","-0.061366826,-0.604217,-0.8120047,-0.25759587,0.05618515,-0.48468974,-0.29578948,0.09543859,-0.48022214",0.0
"-0.061366826,-0.604217,-0.8120047,-0.25759587,0.05618515,-0.48468974,-0.29578948,0.09543859,-0.48022214","-0.025388718,0.010288715,0.5984231","-0.06379126,-0.6028024,-0.74771565,-0.34063134,0.07510131,-0.51827675,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06379126,-0.6028024,-0.74771565,-0.34063134,0.07510131,-0.51827675,-0.29578948,0.09543859,-0.48022214","-0.5319757,0.23688626,-0.458632","-0.11459108,-0.5702318,-0.7969868,-0.2851574,0.11351974,-0.46986964,-0.29578948,0.09543859,-0.48022214",0.0
"-0.11459108,-0.5702318,-0.7969868,-0.2851574,0.11351974,-0.46986964,-0.29578948,0.09543859,-0.48022214","0.29763436,0.082191825,-0.095883965","-0.08616915,-0.55893093,-0.8072877,-0.28836867,0.08603672,-0.4562786,-0.29578948,0.09543859,-0.48022214",0.0
"-0.08616915,-0.55893093,-0.8072877,-0.28836867,0.08603672,-0.4562786,-0.29578948,0.09543859,-0.48022214","0.12124455,0.0134705305,-0.077237606","-0.07459118,-0.55707884,-0.8155854,-0.28186932,0.07324029,-0.45059934,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07459118,-0.55707884,-0.8155854,-0.28186932,0.07324029,-0.45059934,-0.29578948,0.09543859,-0.48022214","0.019622326,0.03698814,-0.021920979","-0.0727174,-0.5519932,-0.81794035,-0.2824786,0.0716223,-0.4457283,-0.29578948,0.09543859,-0.48022214",0.0
"-0.0727174,-0.5519932,-0.81794035,-0.2824786,0.0716223,-0.4457283,-0.29578948,0.09543859,-0.48022214","0.16708493,0.036330342,0.5201125","-0.056762,-0.546998,-0.76206434,-0.36300343,0.07130977,-0.46438894,-0.29578948,0.09543859,-0.48022214",0.0
"-0.056762,-0.546998,-0.76206434,-0.36300343,0.07130977,-0.46438894,-0.29578948,0.09543859,-0.48022214","-0.07905197,0.27082658,-0.5317121","-0.06431089,-0.50976086,-0.8191865,-0.30784026,0.06896582,-0.413872,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06431089,-0.50976086,-0.8191865,-0.30784026,0.06896582,-0.413872,-0.29578948,0.09543859,-0.48022214","0.014054894,-0.1672712,-0.31052542","-0.06296875,-0.53275985,-0.8525464,-0.2519139,0.05639933,-0.41309407,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06296875,-0.53275985,-0.8525464,-0.2519139,0.05639933,-0.41309407,-0.29578948,0.09543859,-0.48022214","-0.004844904,-0.16890943,0.5009546","-0.06343141,-0.55598414,-0.7987285,-0.3068163,0.06786987,-0.45823428,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06343141,-0.55598414,-0.7987285,-0.3068163,0.06786987,-0.45823428,-0.29578948,0.09543859,-0.48022214","-0.09369522,-0.054866254,-0.012898266","-0.07237863,-0.563528,-0.8001142,-0.2980765,0.07491312,-0.4632883,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07237863,-0.563528,-0.8001142,-0.2980765,0.07491312,-0.4632883,-0.29578948,0.09543859,-0.48022214","0.03547108,-0.00016850233,0.1640526","-0.06899139,-0.5635512,-0.78248996,-0.32181406,0.07679241,-0.47137523,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06899139,-0.5635512,-0.78248996,-0.32181406,0.07679241,-0.47137523,-0.29578948,0.09543859,-0.48022214","-0.0344705,0.12641644,0.12641883","-0.072283074,-0.54616964,-0.7689087,-0.350494,0.08693055,-0.46164742,-0.29578948,0.09543859,-0.48022214",0.0
"-0.072283074,-0.54616964,-0.7689087,-0.350494,0.08693055,-0.46164742,-0.29578948,0.09543859,-0.48022214","0.16211307,0.24982822,-0.34876168","-0.056802463,-0.51181966,-0.8063764,-0.32528442,0.06455417,-0.42029983,-0.29578948,0.09543859,-0.48022214",0.0
"-0.056802463,-0.51181966,-0.8063764,-0.32528442,0.06455417,-0.42029983,-0.29578948,0.09543859,-0.48022214","-0.22724664,0.12564659,-0.3466136","-0.07850287,-0.49454394,-0.8436133,-0.28084913,0.076673694,-0.39223468,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07850287,-0.49454394,-0.8436133,-0.28084913,0.076673694,-0.39223468,-0.29578948,0.09543859,-0.48022214","0.118979454,0.060514808,-0.31853485","-0.0671412,-0.4862235,-0.8778337,-0.2434241,0.05804162,-0.36934033,-0.29578948,0.09543859,-0.48022214",0.0
"-0.0671412,-0.4862235,-0.8778337,-0.2434241,0.05804162,-0.36934033,-0.29578948,0.09543859,-0.48022214","-0.04910344,-0.26464128,0.15200031","-0.07183023,-0.52261037,-0.8615042,-0.2446164,0.06209708,-0.40129182,-0.29578948,0.09543859,-0.48022214",0.0
"-0.07183023,-0.52261037,-0.8615042,-0.2446164,0.06209708,-0.40129182,-0.29578948,0.09543859,-0.48022214","-0.11269981,-0.14014441,-0.09901422","-0.08259224,-0.5418796,-0.8721414,-0.21901296,0.06412832,-0.40550628,-0.29578948,0.09543859,-0.48022214",0.0
"-0.08259224,-0.5418796,-0.8721414,-0.21901296,0.06412832,-0.40550628,-0.29578948,0.09543859,-0.48022214","-0.077679634,-0.14812958,0.3173797","-0.090010084,-0.5622467,-0.8380451,-0.2469515,0.077783644,-0.4407908,-0.29578948,0.09543859,-0.48022214",0.0
"-0.090010084,-0.5622467,-0.8380451,-0.2469515,0.077783644,-0.4407908,-0.29578948,0.09543859,-0.48022214","0.06823015,0.2535149,0.3415091","-0.083494596,-0.5273897,-0.80135655,-0.31623024,0.09090021,-0.43468451,-0.29578948,0.09543859,-0.48022214",0.0
"-0.083494596,-0.5273897,-0.80135655,-0.31623024,0.09090021,-0.43468451,-0.29578948,0.09543859,-0.48022214","0.25913763,0.11451435,-0.25428075","-0.058748838,-0.51164466,-0.8286741,-0.29539594,0.061036985,-0.41128904,-0.29578948,0.09543859,-0.48022214",0.0
"-0.058748838,-0.51164466,-0.8286741,-0.29539594,0.061036985,-0.41128904,-0.29578948,0.09543859,-0.48022214","0.06334889,-0.42302763,-0.19156522","-0.05269948,-0.56980884,-0.8492541,-0.23577158,0.045264896,-0.43779203,-0.29578948,0.09543859,-0.48022214",0.0
"-0.05269948,-0.56980884,-0.8492541,-0.23577158,0.045264896,-0.43779203,-0.29578948,0.09543859,-0.48022214","-0.13111502,-0.3295334,0.66312647","-0.06522001,-0.615118,-0.778014,-0.2915866,0.066508226,-0.51325023,-0.29578948,0.09543859,-0.48022214",0.0
"-0.06522001,-0.615118,-0.778014,-0.2915866,0.066508226,-0.51325023,-0.29578948,0.09543859,-0.48022214","0.06652236,0.287104,0.015725136","-0.05886761,-0.57564276,-0.7763246,-0.32388923,0.06648181,-0.48376793,-0.29578948,0.09543859,-0.48022214",0.0
"-0.05886761,-0.57564276,-0.7763246,-0.32388923,0.06648181,-0.48376793,-0.29578948,0.09543859,-0.48022214","-0.41487265,0.015655875,-0.31521964","-0.09848494,-0.5734902,-0.81018883,-0.27192497,0.093003444,-0.46516195,-0.29578948,0.09543859,-0.48022214",0.0
"-0.09848494,-0.5734902,-0.81018883,-0.27192497,0.093003444,-0.46516195,-0.29578948,0.09543859,-0.48022214","-0.0062657,-0.10520005,0.19801569","-0.099083275,-0.58795476,-0.78891593,-0.28860113,0.098936036,-0.4872556,-0.29578948,0.09543859,-0.48022214",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.20491229,-0.8326315,0.013512123","-0.85682046,0.97628605,0.9709623","-0.08182012,0.13423431,0.104311086,0.40614957,-0.100775085,0.877239,0.20491229,-0.8326315,0.013512123",0.0
"-0.08182012,0.13423431,0.104311086,0.40614957,-0.100775085,0.877239,0.20491229,-0.8326315,0.013512123","-0.8886361,0.9717721,0.9181609","-0.16667843,0.26784799,0.20294969,0.6344283,-0.3596343,0.57054144,0.20491229,-0.8326315,0.013512123",0.0
"-0.16667843,0.26784799,0.20294969,0.6344283,-0.3596343,0.57054144,0.20491229,-0.8326315,0.013512123","-0.7789942,0.6993829,0.9870734","-0.24106671,0.36400956,0.30899158,0.6221047,-0.58016574,0.22102998,0.20491229,-0.8326315,0.013512123",0.0
"-0.24106671,0.36400956,0.30899158,0.6221047,-0.58016574,0.22102998,0.20491229,-0.8326315,0.013512123","-0.95506847,0.21669805,0.88950896","-0.3322688,0.39380443,0.4045521,0.42298943,-0.71550524,0.015799616,0.20491229,-0.8326315,0.013512123",0.0
"-0.3322688,0.39380443,0.4045521,0.42298943,-0.71550524,0.015799616,0.20491229,-0.8326315,0.013512123","-0.7684109,-0.07664764,0.35579538","-0.40564644,0.38326582,0.4427754,0.2406922,-0.7682609,-0.016608773,0.20491229,-0.8326315,0.013512123",0.0
"-0.40564644,0.38326582,0.4427754,0.2406922,-0.7682609,-0.016608773,0.20491229,-0.8326315,0.013512123","0.06017971,0.17619276,-0.8020311","-0.39989972,0.40749145,0.3566127,0.27128178,-0.81531477,0.05740575,0.20491229,-0.8326315,0.013512123",0.0
"-0.39989972,0.40749145,0.3566127,0.27128178,-0.81531477,0.05740575,0.20491229,-0.8326315,0.013512123","-0.2709744,0.005511284,0.056288004","-0.4257758,0.40824923,0.36265975,0.20361754,-0.83228534,0.046870008,0.20491229,-0.8326315,0.013512123",0.0
"-0.4257758,0.40824923,0.36265975,0.20361754,-0.83228534,0.046870008,0.20491229,-0.8326315,0.013512123","0.106105685,0.1373769,-0.24672693","-0.41564348,0.4271379,0.33615375,0.2346072,-0.8423477,0.04630353,0.20491229,-0.8326315,0.013512123",0.0
"-0.41564348,0.4271379,0.33615375,0.2346072,-0.8423477,0.04630353,0.20491229,-0.8326315,0.013512123","-0.16374642,0.0566113,-0.028640926","-0.43128005,0.4349217,0.3330768,0.19375215,-0.85645634,0.034249038,0.20491229,-0.8326315,0.013512123",0.0
"-0.43128005,0.4349217,0.3330768,0.19375215,-0.85645634,0.034249038,0.20491229,-0.8326315,0.013512123","0.057861447,0.270913,0.2621162","-0.4257547,0.4721709,0.36123613,0.20669557,-0.84499544,-0.08591359,0.20491229,-0.8326315,0.013512123",0.0
"-0.4257547,0.4721709,0.36123613,0.20669557,-0.84499544,-0.08591359,0.20491229,-0.8326315,0.013512123","-0.17279899,-0.13178015,-0.37515616","-0.44225577,0.45405188,0.32093284,0.1659982,-0.87291485,0.011067385,0.20491229,-0.8326315,0.013512123",0.0
"-0.44225577,0.45405188,0.32093284,0.1659982,-0.87291485,0.011067385,0.20491229,-0.8326315,0.013512123","0.2595662,0.06310737,0.4570756","-0.41746905,0.46272883,0.37003672,0.22702189,-0.8333087,-0.07819631,0.20491229,-0.8326315,0.013512123",0.0
"-0.41746905,0.46272883,0.37003672,0.22702189,-0.8333087,-0.07819631,0.20491229,-0.8326315,0.013512123","-0.12209952,-0.015021503,-0.57824767","-0.4291287,0.4606635,0.3079152,0.20342618,-0.87230986,0.01606012,0.20491229,-0.8326315,0.013512123",0.0
"-0.4291287,0.4606635,0.3079152,0.20342618,-0.87230986,0.01606012,0.20491229,-0.8326315,0.013512123","0.047850966,-0.11030483,0.33613753","-0.42455927,0.4454972,0.34402668,0.21125375,-0.8499524,-0.00451549,0.20491229,-0.8326315,0.013512123",0.0
"-0.42455927,0.4454972,0.34402668,0.21125375,-0.8499524,-0.00451549,0.20491229,-0.8326315,0.013512123","-0.075086534,0.011544466,-0.097797394","-0.43172947,0.44708458,0.33352026,0.19320257,-0.85975766,0.007493525,0.20491229,-0.8326315,0.013512123",0.0
"-0.43172947,0.44708458,0.33352026,0.19320257,-0.85975766,0.007493525,0.20491229,-0.8326315,0.013512123","-0.103510976,0.020870566,0.26724148","-0.44161403,0.44995424,0.36223018,0.1638127,-0.8513126,-0.040243626,0.20491229,-0.8326315,0.013512123",0.0
"-0.44161403,0.44995424,0.36223018,0.1638127,-0.8513126,-0.040243626,0.20491229,-0.8326315,0.013512123","0.3295362,0.042450547,-0.33630866","-0.41014573,0.45579103,0.32610032,0.25253627,-0.84994835,-0.00034136223,0.20491229,-0.8326315,0.013512123",0.0
"-0.41014573,0.45579103,0.32610032,0.25253627,-0.84994835,-0.00034136223,0.20491229,-0.8326315,0.013512123","-0.10699648,-0.016599,0.6841594","-0.4203631,0.45350882,0.39959997,0.21437754,-0.8155427,-0.09941464,0.20491229,-0.8326315,0.013512123",0.0
"-0.4203631,0.45350882,0.39959997,0.21437754,-0.8155427,-0.09941464,0.20491229,-0.8326315,0.013512123","-0.028755367,0.03448224,-0.5637444","-0.423109,0.45825002,0.33903652,0.21634108,-0.85392,-0.024574827,0.20491229,-0.8326315,0.013512123",0.0
"-0.423109,0.45825002,0.33903652,0.21634108,-0.85392,-0.024574827,0.20491229,-0.8326315,0.013512123","-0.043738186,-0.18063426,-0.35093164","-0.4272857,0.43341377,0.3013357,0.20696689,-0.8646384,0.085334755,0.20491229,-0.8326315,0.013512123",0.0
"-0.4272857,0.43341377,0.3013357,0.20696689,-0.8646384,0.085334755,0.20491229,-0.8326315,0.013512123","0.031063795,0.27456188,0.40826046","-0.4243193,0.47116467,0.34519535,0.21275245,-0.8533328,-0.06116467,0.20491229,-0.8326315,0.013512123",0.0
"-0.4243193,0.47116467,0.34519535,0.21275245,-0.8533328,-0.06116467,0.20491229,-0.8326315,0.013512123","-0.10998607,-0.12047744,-0.40332878","-0.43482217,0.4545997,0.3018655,0.1879157,-0.87640494,0.03839125,0.20491229,-0.8326315,0.013512123",0.0
"-0.43482217,0.4545997,0.3018655,0.1879157,-0.87640494,0.03839125,0.20491229,-0.8326315,0.013512123","0.25851905,-0.0893991,-0.21745574","-0.4101355,0.44230786,0.27850404,0.25596428,-0.8616638,0.100905664,0.20491229,-0.8326315,0.013512123",0.0
"-0.4101355,0.44230786,0.27850404,0.25596428,-0.8616638,0.100905664,0.20491229,-0.8326315,0.013512123","0.077769876,0.2572316,0.50016975","-0.40270907,0.4776759,0.33223757,0.27254847,-0.8445303,-0.05664809,0.20491229,-0.8326315,0.013512123",0.0
"-0.40270907,0.4776759,0.33223757,0.27254847,-0.8445303,-0.05664809,0.20491229,-0.8326315,0.013512123","-0.26846027,0.008928299,0.10068607","-0.42834505,0.4789036,0.34305432,0.20238832,-0.85789746,-0.0747428,0.20491229,-0.8326315,0.013512123",0.0
