uoc,state,action,next_state,reward
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.03385965,-0.0057894737,-0.6184311","0.5188091,0.99486876,0.96993923","0.049542505,0.13678934,0.10420118,0.41723996,0.071329914,0.87471133,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.049542505,0.13678934,0.10420118,0.41723996,0.071329914,0.87471133,0.03385965,-0.0057894737,-0.6184311","-0.00015819073,0.53925514,0.9368316","0.049527403,0.21093416,0.20484559,0.63998115,0.10624934,0.66368383,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.049527403,0.21093416,0.20484559,0.63998115,0.10624934,0.66368383,0.03385965,-0.0057894737,-0.6184311","0.19342637,0.9557643,0.9416237","0.06799822,0.34234685,0.3060048,0.81528074,0.18278508,0.27024254,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.06799822,0.34234685,0.3060048,0.81528074,0.18278508,0.27024254,0.03385965,-0.0057894737,-0.6184311","-0.57748514,0.9409132,0.98652077","0.012852582,0.47171766,0.41198733,0.83266324,0.039433204,-0.15292169,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.012852582,0.47171766,0.41198733,0.83266324,0.039433204,-0.15292169,0.03385965,-0.0057894737,-0.6184311","-0.16786647,0.9158516,0.9742824","-0.0031774458,0.59764254,0.5166551,0.6690222,-0.0008887519,-0.48828617,0.03385965,-0.0057894737,-0.6184311",0.0
7,"-0.0031774458,0.59764254,0.5166551,0.6690222,-0.0008887519,-0.48828617,0.03385965,-0.0057894737,-0.6184311","0.22603738,0.9507599,0.982252","0.018407485,0.7283672,0.622179,0.40105543,0.029017773,-0.67757934,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.018407485,0.7283672,0.622179,0.40105543,0.029017773,-0.67757934,0.03385965,-0.0057894737,-0.6184311","-0.5690436,0.9716271,0.9523773","-0.03593205,0.861961,0.7244934,0.12518269,-0.008364801,-0.6907422,0.03385965,-0.0057894737,-0.6184311",0.0
7,"-0.03593205,0.861961,0.7244934,0.12518269,-0.008364801,-0.6907422,0.03385965,-0.0057894737,-0.6184311","-0.6912861,0.1355629,0.76823115","-0.10194485,0.8806003,0.8070249,0.034634743,-0.005388142,-0.5938388,0.03385965,-0.0057894737,-0.6184311",0.0
7,"-0.10194485,0.8806003,0.8070249,0.034634743,-0.005388142,-0.5938388,0.03385965,-0.0057894737,-0.6184311","-0.23378015,0.17321551,-0.16621464","-0.12426916,0.90441656,0.7891683,0.024944488,-0.004004652,-0.6195228,0.03385965,-0.0057894737,-0.6184311",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.0012865497,0.006081871,-0.7596475","0.8387799,0.9637698,0.98278487","0.0800974,0.13251339,0.105581194,0.4020004,0.10932485,0.8778985,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.0800974,0.13251339,0.105581194,0.4020004,0.10932485,0.8778985,-0.0012865497,0.006081871,-0.7596475","0.9583366,0.99273753,0.9257914","0.17161159,0.2690097,0.20503953,0.6251795,0.38076234,0.56548655,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.17161159,0.2690097,0.20503953,0.6251795,0.38076234,0.56548655,-0.0012865497,0.006081871,-0.7596475","0.34104836,0.9510133,0.88833046","0.20417924,0.39976916,0.30047342,0.6963966,0.5272939,0.1590176,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.20417924,0.39976916,0.30047342,0.6963966,0.5272939,0.1590176,-0.0012865497,0.006081871,-0.7596475","-0.59602463,0.9341366,0.93200636","0.14726321,0.5282082,0.4005994,0.74360645,0.37733856,-0.2538223,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.14726321,0.5282082,0.4005994,0.74360645,0.37733856,-0.2538223,-0.0012865497,0.006081871,-0.7596475","0.5201669,0.9849584,0.9401939","0.19693539,0.66363496,0.5016049,0.513761,0.37287194,-0.585466,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.19693539,0.66363496,0.5016049,0.513761,0.37287194,-0.585466,-0.0012865497,0.006081871,-0.7596475","-0.8692337,0.9765985,0.9302808","0.113929875,0.79791224,0.6015455,0.32506695,0.12776694,-0.7488559,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.113929875,0.79791224,0.6015455,0.32506695,0.12776694,-0.7488559,-0.0012865497,0.006081871,-0.7596475","-0.5370508,0.9248383,0.8026329","0.06264542,0.9250727,0.68777287,0.084861904,0.022824073,-0.7475481,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.06264542,0.9250727,0.68777287,0.084861904,0.022824073,-0.7475481,-0.0012865497,0.006081871,-0.7596475","-0.8831982,0.57211566,0.044739604","-0.021690754,0.9999811,0.6925876,-0.008515387,0.00638425,-0.7489181,-0.0012865497,0.006081871,-0.7596475",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.26000002,0.60713446,-0.32808766","0.9262775,0.9187093,0.94966364","0.08845279,0.1263178,0.10202296,0.3833427,0.1153738,0.88707876,0.26000002,0.60713446,-0.32808766",0.0
7,"0.08845279,0.1263178,0.10202296,0.3833427,0.1153738,0.88707876,0.26000002,0.60713446,-0.32808766","0.95838463,0.8423681,0.7534859","0.17997158,0.2421391,0.18297042,0.5711679,0.36925972,0.6424775,0.26000002,0.60713446,-0.32808766",0.0
7,"0.17997158,0.2421391,0.18297042,0.5711679,0.36925972,0.6424775,0.26000002,0.60713446,-0.32808766","0.8855847,0.85763454,0.9174919","0.2645385,0.36005944,0.28153715,0.5683528,0.6313854,0.27202517,0.26000002,0.60713446,-0.32808766",0.0
7,"0.2645385,0.36005944,0.28153715,0.5683528,0.6313854,0.27202517,0.26000002,0.60713446,-0.32808766","0.6495236,0.5500395,0.93067765","0.3265633,0.43568712,0.38152045,0.43736225,0.73281527,-0.037628446,0.26000002,0.60713446,-0.32808766",0.0
7,"0.3265633,0.43568712,0.38152045,0.43736225,0.73281527,-0.037628446,0.26000002,0.60713446,-0.32808766","0.2706877,0.6429601,0.8906499","0.35241202,0.5240908,0.47720352,0.33401734,0.6809609,-0.32873434,0.26000002,0.60713446,-0.32808766",0.0
7,"0.35241202,0.5240908,0.47720352,0.33401734,0.6809609,-0.32873434,0.26000002,0.60713446,-0.32808766","0.195382,-0.10829884,0.6585593","0.37106958,0.50920033,0.54795295,0.26371473,0.62976706,-0.363262,0.26000002,0.60713446,-0.32808766",0.0
7,"0.37106958,0.50920033,0.54795295,0.26371473,0.62976706,-0.363262,0.26000002,0.60713446,-0.32808766","-0.083060205,-0.22308421,0.23599494","0.36313793,0.4785275,0.573306,0.2720889,0.6072242,-0.33173788,0.26000002,0.60713446,-0.32808766",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.4320468,0.14222223,-0.5093807","-0.21048522,-0.9295443,-0.97917205","-0.020099815,-0.12780757,-0.10519307,-0.40576077,0.031456713,0.882956,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.020099815,-0.12780757,-0.10519307,-0.40576077,0.031456713,0.882956,-0.4320468,0.14222223,-0.5093807","-0.4206758,-0.8038155,-0.92082465","-0.060271308,-0.23832807,-0.20411785,-0.67545104,0.13534062,0.61997366,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.060271308,-0.23832807,-0.20411785,-0.67545104,0.13534062,0.61997366,-0.4320468,0.14222223,-0.5093807","0.15954363,-0.8040657,-0.96806663","-0.045036048,-0.34888297,-0.30811784,-0.8310128,0.12421439,0.2535887,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.045036048,-0.34888297,-0.30811784,-0.8310128,0.12421439,0.2535887,-0.4320468,0.14222223,-0.5093807","0.6112673,-0.83560884,-0.9671543","0.013335545,-0.46377495,-0.41201982,-0.8334781,-0.029144095,-0.13680902,-0.4320468,0.14222223,-0.5093807",0.0
7,"0.013335545,-0.46377495,-0.41201982,-0.8334781,-0.029144095,-0.13680902,-0.4320468,0.14222223,-0.5093807","-0.6113055,-0.8406726,-0.85220003","-0.045039695,-0.57936317,-0.50357217,-0.69030434,0.104180776,-0.44923228,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.045039695,-0.57936317,-0.50357217,-0.69030434,0.104180776,-0.44923228,-0.4320468,0.14222223,-0.5093807","-0.19230485,-0.42129278,-0.9351355","-0.06340341,-0.6372888,-0.6040343,-0.5068899,0.10822945,-0.5767233,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.06340341,-0.6372888,-0.6040343,-0.5068899,0.10822945,-0.5767233,-0.4320468,0.14222223,-0.5093807","-0.3489492,0.36499906,-0.7070235","-0.09672552,-0.58710337,-0.67999023,-0.4318601,0.14149222,-0.5186703,-0.4320468,0.14222223,-0.5093807",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.03011696,-0.016491227,-0.6184311","0.19658124,-0.9817947,-0.9767986","0.018772077,-0.13499172,-0.10493809,-0.42023405,-0.019012544,0.8759229,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.018772077,-0.13499172,-0.10493809,-0.42023405,-0.019012544,0.8759229,-0.03011696,-0.016491227,-0.6184311","0.41364086,-0.7659443,-0.7885033","0.058271773,-0.24030514,-0.18964751,-0.6717231,-0.118474826,0.6365017,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.058271773,-0.24030514,-0.18964751,-0.6717231,-0.118474826,0.6365017,-0.03011696,-0.016491227,-0.6184311","0.32549667,-0.67954177,-0.80205363","0.08935434,-0.33373865,-0.27581263,-0.79676676,-0.2237059,0.33481038,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.08935434,-0.33373865,-0.27581263,-0.79676676,-0.2237059,0.33481038,-0.03011696,-0.016491227,-0.6184311","0.3528056,-0.9658691,-0.96819437","0.12304473,-0.46654075,-0.37982634,-0.79635733,-0.31789544,-0.09968046,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.12304473,-0.46654075,-0.37982634,-0.79635733,-0.31789544,-0.09968046,-0.03011696,-0.016491227,-0.6184311","0.8414825,-0.9444747,-0.4339949","0.20340021,-0.5964012,-0.42645064,-0.6284966,-0.4597563,-0.41605514,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.20340021,-0.5964012,-0.42645064,-0.6284966,-0.4597563,-0.41605514,-0.03011696,-0.016491227,-0.6184311","0.27108788,-0.9798432,-0.9482663","0.22928713,-0.73112464,-0.5283234,-0.4017698,-0.34490952,-0.6890383,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.22928713,-0.73112464,-0.5283234,-0.4017698,-0.34490952,-0.6890383,-0.03011696,-0.016491227,-0.6184311","0.42140293,-0.98123103,-0.9659599","0.26952803,-0.8660389,-0.63209707,-0.15257993,-0.16381231,-0.7781073,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.26952803,-0.8660389,-0.63209707,-0.15257993,-0.16381231,-0.7781073,-0.03011696,-0.016491227,-0.6184311","-0.54036725,-0.4444679,-0.83741754","0.2179269,-0.92715096,-0.7220612,-0.04513735,-0.029374627,-0.7077963,-0.03011696,-0.016491227,-0.6184311",0.0
