state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.17923978,-0.09040935,0.1523095","0.95994663,-0.9835618,-0.9711723","0.09166793,-0.13523468,-0.10433365,-0.40472466,-0.11384916,0.87619615,-0.17923978,-0.09040935,0.1523095",0.0
"0.09166793,-0.13523468,-0.10433365,-0.40472466,-0.11384916,0.87619615,-0.17923978,-0.09040935,0.1523095","0.5378337,0.46905184,-0.9874223","0.14302714,-0.07074247,-0.21041308,-0.37526432,-0.17453802,0.83997434,-0.17923978,-0.09040935,0.1523095",0.0
"0.14302714,-0.07074247,-0.21041308,-0.37526432,-0.17453802,0.83997434,-0.17923978,-0.09040935,0.1523095","-0.24516505,0.4295981,-0.9768131","0.11961566,-0.011674942,-0.31535277,-0.37992123,-0.14366788,0.7790942,-0.17923978,-0.09040935,0.1523095",0.0
"0.11961566,-0.011674942,-0.31535277,-0.37992123,-0.14366788,0.7790942,-0.17923978,-0.09040935,0.1523095","-0.17514694,0.5999155,-0.96869296","0.1028904,0.07081037,-0.41942012,-0.33290866,-0.10541557,0.7220083,-0.17923978,-0.09040935,0.1523095",0.0
"0.1028904,0.07081037,-0.41942012,-0.33290866,-0.10541557,0.7220083,-0.17923978,-0.09040935,0.1523095","-0.045814216,0.32656598,-0.9567713","0.09851549,0.115711525,-0.5222067,-0.32905957,-0.09914612,0.61649805,-0.17923978,-0.09040935,0.1523095",0.0
"0.09851549,0.115711525,-0.5222067,-0.32905957,-0.09914612,0.61649805,-0.17923978,-0.09040935,0.1523095","0.638404,0.114112616,-0.95289326","0.15947844,0.13140143,-0.6245766,-0.315945,-0.1664187,0.47516668,-0.17923978,-0.09040935,0.1523095",0.0
"0.15947844,0.13140143,-0.6245766,-0.315945,-0.1664187,0.47516668,-0.17923978,-0.09040935,0.1523095","0.33304155,0.1956687,-0.93316895","0.19128148,0.15830489,-0.72482765,-0.27528265,-0.1816881,0.34166655,-0.17923978,-0.09040935,0.1523095",0.0
"0.19128148,0.15830489,-0.72482765,-0.27528265,-0.1816881,0.34166655,-0.17923978,-0.09040935,0.1523095","-0.078092635,0.4494059,-0.9107477","0.18382421,0.22009589,-0.8226699,-0.21816768,-0.13524894,0.2357141,-0.17923978,-0.09040935,0.1523095",0.0
"0.18382421,0.22009589,-0.8226699,-0.21816768,-0.13524894,0.2357141,-0.17923978,-0.09040935,0.1523095","-0.142488,0.28835368,-0.67533165","0.17021763,0.25974306,-0.89522135,-0.17694664,-0.09808079,0.14995408,-0.17923978,-0.09040935,0.1523095",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.062631585,0.15725146,-0.15692818","0.8903725,0.8969104,0.9848492","0.08502412,0.12332057,0.105802976,0.3831996,0.110864915,0.88685304,0.062631585,0.15725146,-0.15692818",0.0
