uoc,state,action,next_state,reward
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.09380117,-0.15415204,-0.40556052","0.83111227,-0.8971932,-0.94632876","0.07936519,-0.12335945,-0.10166469,-0.38329312,-0.091624886,0.89024025,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.07936519,-0.12335945,-0.10166469,-0.38329312,-0.091624886,0.89024025,-0.09380117,-0.15415204,-0.40556052","0.65386915,-0.61445856,-0.9660489","0.14180495,-0.20784433,-0.20544794,-0.58401996,-0.27245986,0.66775113,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.14180495,-0.20784433,-0.20544794,-0.58401996,-0.27245986,0.66775113,-0.09380117,-0.15415204,-0.40556052","0.5807209,-0.55520856,-0.95613945","0.19725958,-0.28418267,-0.3081666,-0.6424792,-0.4512793,0.38198313,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.19725958,-0.28418267,-0.3081666,-0.6424792,-0.4512793,0.38198313,-0.09380117,-0.15415204,-0.40556052","0.51994324,-0.64486027,-0.9644407","0.24691038,-0.37284768,-0.41177705,-0.5902385,-0.570783,0.047671705,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.24691038,-0.37284768,-0.41177705,-0.5902385,-0.570783,0.047671705,-0.09380117,-0.15415204,-0.40556052","0.5281327,-0.6305878,-0.97073555","0.29734322,-0.45955032,-0.5160638,-0.44328606,-0.58980775,-0.24905579,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.29734322,-0.45955032,-0.5160638,-0.44328606,-0.58980775,-0.24905579,-0.09380117,-0.15415204,-0.40556052","0.032235503,-0.68082225,-0.964178","0.30042148,-0.5531599,-0.61964595,-0.33514634,-0.45271045,-0.4687156,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.30042148,-0.5531599,-0.61964595,-0.33514634,-0.45271045,-0.4687156,-0.09380117,-0.15415204,-0.40556052","0.047947288,-0.48488617,-0.953673","0.30500013,-0.6198293,-0.72209966,-0.21734548,-0.29918417,-0.54287726,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.30500013,-0.6198293,-0.72209966,-0.21734548,-0.29918417,-0.54287726,-0.09380117,-0.15415204,-0.40556052","0.0896014,0.18443036,-0.926086","0.3135564,-0.59447116,-0.82158965,-0.14765574,-0.21210632,-0.4720175,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.3135564,-0.59447116,-0.82158965,-0.14765574,-0.21210632,-0.4720175,-0.09380117,-0.15415204,-0.40556052","0.06965661,0.3037212,-0.6452933","0.32020813,-0.5527111,-0.8909139,-0.111585274,-0.16526951,-0.39674136,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.32020813,-0.5527111,-0.8909139,-0.111585274,-0.16526951,-0.39674136,-0.09380117,-0.15415204,-0.40556052","0.092556715,-0.093322754,-0.039583683","0.32904664,-0.5655426,-0.89516646,-0.10081191,-0.15798901,-0.3991982,-0.09380117,-0.15415204,-0.40556052",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.23198831,-0.032865494,-0.35214671","0.50300753,-0.8942175,-0.9657964","0.04803356,-0.12295031,-0.103756115,-0.3920994,-0.053766202,0.8889126,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.04803356,-0.12295031,-0.103756115,-0.3920994,-0.053766202,0.8889126,-0.23198831,-0.032865494,-0.35214671","0.59149575,-0.7673735,-0.966283","0.10451711,-0.22846022,-0.20756453,-0.64248896,-0.21276936,0.6316544,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.10451711,-0.22846022,-0.20756453,-0.64248896,-0.21276936,0.6316544,-0.23198831,-0.032865494,-0.35214671","0.46113992,-0.74564034,-0.96651894","0.14855263,-0.33098194,-0.31139824,-0.740748,-0.36671534,0.28486532,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.14855263,-0.33098194,-0.31139824,-0.740748,-0.36671534,0.28486532,-0.23198831,-0.032865494,-0.35214671","-0.20444745,-0.8495878,-0.9667121","0.12902938,-0.44779593,-0.41525272,-0.7665329,-0.32263786,-0.10857018,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.12902938,-0.44779593,-0.41525272,-0.7665329,-0.32263786,-0.10857018,-0.23198831,-0.032865494,-0.35214671","-0.17569554,-0.70999205,-0.9694745","0.112251736,-0.54541624,-0.5194039,-0.6579506,-0.23597912,-0.4029175,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.112251736,-0.54541624,-0.5194039,-0.6579506,-0.23597912,-0.4029175,-0.23198831,-0.032865494,-0.35214671","0.09109783,0.09487116,-0.9750734","0.120950915,-0.532372,-0.6241566,-0.5322068,-0.20632312,-0.4415009,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.120950915,-0.532372,-0.6241566,-0.5322068,-0.20632312,-0.4415009,-0.23198831,-0.032865494,-0.35214671","-0.0456478,-0.14497346,-0.9612317","0.11659188,-0.55230516,-0.7274223,-0.38873968,-0.14291771,-0.47686708,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.11659188,-0.55230516,-0.7274223,-0.38873968,-0.14291771,-0.47686708,-0.23198831,-0.032865494,-0.35214671","-0.31818998,0.17595994,-0.9031236","0.08620705,-0.52811164,-0.82444537,-0.28826985,-0.07402954,-0.42528018,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.08620705,-0.52811164,-0.82444537,-0.28826985,-0.07402954,-0.42528018,-0.23198831,-0.032865494,-0.35214671","-0.16828394,0.38680327,-0.6115363","0.07013715,-0.47492826,-0.89014316,-0.23505385,-0.046714228,-0.35554585,-0.23198831,-0.032865494,-0.35214671",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.17695907,0.035380118,-0.40556052","0.13857818,0.91465545,0.9405596","0.013233216,0.12576042,0.10104491,0.39745006,0.02232698,0.8884304,0.17695907,0.035380118,-0.40556052",0.0
7,"0.013233216,0.12576042,0.10104491,0.39745006,0.02232698,0.8884304,0.17695907,0.035380118,-0.40556052","0.57384944,0.8879287,0.95000577","0.068031676,0.24784608,0.20310465,0.6845858,0.15450859,0.60523856,0.17695907,0.035380118,-0.40556052",0.0
7,"0.068031676,0.24784608,0.20310465,0.6845858,0.15450859,0.60523856,0.17695907,0.035380118,-0.40556052","0.00777936,0.81195366,0.9523064","0.06877454,0.35948557,0.30541152,0.8269965,0.1874429,0.23597448,0.17695907,0.035380118,-0.40556052",0.0
7,"0.06877454,0.35948557,0.30541152,0.8269965,0.1874429,0.23597448,0.17695907,0.035380118,-0.40556052","0.042860866,0.7577033,0.9575355","0.072867446,0.4636659,0.40828013,0.8137146,0.19554336,-0.1317245,0.17695907,0.035380118,-0.40556052",0.0
7,"0.072867446,0.4636659,0.40828013,0.8137146,0.19554336,-0.1317245,0.17695907,0.035380118,-0.40556052","-0.06285262,0.52558804,0.9494624","0.06686548,0.5359316,0.51028144,0.698124,0.15476637,-0.3794326,0.17695907,0.035380118,-0.40556052",0.0
7,"0.06686548,0.5359316,0.51028144,0.698124,0.15476637,-0.3794326,0.17695907,0.035380118,-0.40556052","0.038666368,0.4149562,0.93044305","0.07055784,0.59298605,0.61023945,0.53225124,0.12588674,-0.52012974,0.17695907,0.035380118,-0.40556052",0.0
7,"0.07055784,0.59298605,0.61023945,0.53225124,0.12588674,-0.52012974,0.17695907,0.035380118,-0.40556052","0.010361552,-0.06244999,0.92888784","0.07154729,0.5843995,0.71003044,0.40298012,0.098074645,-0.51218575,0.17695907,0.035380118,-0.40556052",0.0
