state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.0654386,-0.110701755,-0.7433683","0.33314443,0.9438361,0.96925735","0.03181288,0.1297726,0.10412793,0.4069032,0.046621352,0.88190114,0.0654386,-0.110701755,-0.7433683",0.0
"0.03181288,0.1297726,0.10412793,0.4069032,0.046621352,0.88190114,0.0654386,-0.110701755,-0.7433683","-0.63888955,0.9928994,0.9583638","-0.029196434,0.26629117,0.20708553,0.7269556,-0.06105273,0.5674053,0.0654386,-0.110701755,-0.7433683",0.0
"-0.029196434,0.26629117,0.20708553,0.7269556,-0.06105273,0.5674053,0.0654386,-0.110701755,-0.7433683","-0.6054475,0.9494324,0.9084288","-0.08701227,0.39683327,0.3046786,0.8402797,-0.22958179,0.15876731,0.0654386,-0.110701755,-0.7433683",0.0
"-0.08701227,0.39683327,0.3046786,0.8402797,-0.22958179,0.15876731,0.0654386,-0.110701755,-0.7433683","-0.08990598,0.9903587,0.94541883","-0.09559764,0.53300256,0.4062455,0.79202026,-0.23922546,-0.2701999,0.0654386,-0.110701755,-0.7433683",0.0
"-0.09559764,0.53300256,0.4062455,0.79202026,-0.23922546,-0.2701999,0.0654386,-0.110701755,-0.7433683","-0.8208474,0.9873227,0.9456129","-0.1739826,0.6687544,0.50783324,0.53413004,-0.31819558,-0.59598476,0.0654386,-0.110701755,-0.7433683",0.0
"-0.1739826,0.6687544,0.50783324,0.53413004,-0.31819558,-0.59598476,0.0654386,-0.110701755,-0.7433683","-0.88103783,0.97547865,0.87707853","-0.25811535,0.8028777,0.6020583,0.2400639,-0.2442238,-0.7528192,0.0654386,-0.110701755,-0.7433683",0.0
"-0.25811535,0.8028777,0.6020583,0.2400639,-0.2442238,-0.7528192,0.0654386,-0.110701755,-0.7433683","-0.44978404,0.78926563,0.40887833","-0.30106646,0.9113977,0.6459843,0.091695465,-0.11720608,-0.786801,0.0654386,-0.110701755,-0.7433683",0.0
"-0.30106646,0.9113977,0.6459843,0.091695465,-0.11720608,-0.786801,0.0654386,-0.110701755,-0.7433683","-0.10202676,-0.0677464,0.3309133","-0.31080928,0.90208304,0.68153447,0.07325608,-0.09804626,-0.7483966,0.0654386,-0.110701755,-0.7433683",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.27602342,-0.142807,-0.48022214","-0.36854154,-0.9173819,-0.8839611","-0.035193045,-0.12613529,-0.0949645,-0.38849849,0.048953872,0.89301807,-0.27602342,-0.142807,-0.48022214",0.0
"-0.035193045,-0.12613529,-0.0949645,-0.38849849,0.048953872,0.89301807,-0.27602342,-0.142807,-0.48022214","0.399261,-0.8658485,-0.9905687","0.0029334784,-0.24518503,-0.20138192,-0.69694555,-0.0006335918,0.6121778,-0.27602342,-0.142807,-0.48022214",0.0
"0.0029334784,-0.24518503,-0.20138192,-0.69694555,-0.0006335918,0.6121778,-0.27602342,-0.142807,-0.48022214","-0.02434212,-0.44810075,-0.9154487","0.0006089802,-0.3067966,-0.29972914,-0.8056014,0.00424812,0.3512363,-0.27602342,-0.142807,-0.48022214",0.0
"0.0006089802,-0.3067966,-0.29972914,-0.8056014,0.00424812,0.3512363,-0.27602342,-0.142807,-0.48022214","0.26390743,-0.88824904,-0.9790214","0.025810221,-0.42892632,-0.404906,-0.83536696,-0.062076174,-0.056216437,-0.27602342,-0.142807,-0.48022214",0.0
"0.025810221,-0.42892632,-0.404906,-0.83536696,-0.062076174,-0.056216437,-0.27602342,-0.142807,-0.48022214","0.89705753,-0.98046035,-0.97334754","0.1114727,-0.5637346,-0.50947326,-0.6600169,-0.23491263,-0.42682472,-0.27602342,-0.142807,-0.48022214",0.0
"0.1114727,-0.5637346,-0.50947326,-0.6600169,-0.23491263,-0.42682472,-0.27602342,-0.142807,-0.48022214","0.91132474,-0.61508167,-0.9773333","0.19849761,-0.64830524,-0.61446875,-0.40416336,-0.28360596,-0.5909357,-0.27602342,-0.142807,-0.48022214",0.0
"0.19849761,-0.64830524,-0.61446875,-0.40416336,-0.28360596,-0.5909357,-0.27602342,-0.142807,-0.48022214","-0.41623384,0.12997758,-0.92086697","0.1587503,-0.63043404,-0.71339804,-0.33004072,-0.17316563,-0.5555332,-0.27602342,-0.142807,-0.48022214",0.0
"0.1587503,-0.63043404,-0.71339804,-0.33004072,-0.17316563,-0.5555332,-0.27602342,-0.142807,-0.48022214","0.06155634,0.45589066,-0.5723388","0.16462848,-0.5677515,-0.7748847,-0.29675683,-0.162148,-0.47793505,-0.27602342,-0.142807,-0.48022214",0.0
