state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.17040937,-0.2714035,0.90572494","0.9393344,-0.8219324,0.55712354","0.08969961,-0.11301148,0.05985216,-0.15558322,-0.039015118,0.97498935,-0.17040937,-0.2714035,0.90572494",0.0
"0.08969961,-0.11301148,0.05985216,-0.15558322,-0.039015118,0.97498935,-0.17040937,-0.2714035,0.90572494","0.96301425,-0.6870315,0.5200716","0.18166047,-0.20747481,0.11572383,-0.23935841,-0.14677984,0.9331339,-0.17040937,-0.2714035,0.90572494",0.0
"0.18166047,-0.20747481,0.11572383,-0.23935841,-0.14677984,0.9331339,-0.17040937,-0.2714035,0.90572494","0.9243462,-0.3715384,0.39345932","0.2699288,-0.25855947,0.15799347,-0.21968193,-0.24031734,0.90363723,-0.17040937,-0.2714035,0.90572494",0.0
"0.2699288,-0.25855947,0.15799347,-0.21968193,-0.24031734,0.90363723,-0.17040937,-0.2714035,0.90572494","0.54005337,0.099598765,-0.16434228","0.3215,-0.24486522,0.14033814,-0.17646204,-0.27009392,0.91081756,-0.17040937,-0.2714035,0.90572494",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.35707605,-0.18666667,0.89480686","-0.9199946,0.7884289,0.7395916","-0.0878528,0.10840491,0.07945479,0.32587513,-0.08627957,0.92037094,0.35707605,-0.18666667,0.89480686",0.0
"-0.0878528,0.10840491,0.07945479,0.32587513,-0.08627957,0.92037094,0.35707605,-0.18666667,0.89480686","-0.80801797,0.15905881,0.22930002","-0.16501266,0.1302747,0.10408864,0.35939705,-0.19835107,0.88143224,0.35707605,-0.18666667,0.89480686",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.43216377,-0.0057894737,0.79987806","-0.38756478,0.7853112,0.8398113","-0.03700962,0.10797625,0.090221465,0.34788156,-0.034802545,0.91307443,0.43216377,-0.0057894737,0.79987806",0.0
"-0.03700962,0.10797625,0.090221465,0.34788156,-0.034802545,0.91307443,0.43216377,-0.0057894737,0.79987806","0.11897802,-0.03012538,0.75639844","-0.025648078,0.10383417,0.17148185,0.43422788,-0.029256111,0.8459386,0.43216377,-0.0057894737,0.79987806",0.0
"-0.025648078,0.10383417,0.17148185,0.43422788,-0.029256111,0.8459386,0.43216377,-0.0057894737,0.79987806","0.11878681,-0.3021412,0.68912673","-0.014304798,0.062291298,0.2455152,0.43286708,-0.01367098,0.8101159,0.43216377,-0.0057894737,0.79987806",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.62345034,-0.22011696,0.70802206","0.54707706,-0.9182908,-0.40402615","0.052241884,-0.12626027,-0.043404773,-0.3241461,-0.04781482,0.92922235,-0.62345034,-0.22011696,0.70802206",0.0
"0.052241884,-0.12626027,-0.043404773,-0.3241461,-0.04781482,0.92922235,-0.62345034,-0.22011696,0.70802206","0.3247558,-0.8610562,0.5009595","0.08325369,-0.24465108,0.0104136495,-0.47793588,-0.12194181,0.84690446,-0.62345034,-0.22011696,0.70802206",0.0
"0.08325369,-0.24465108,0.0104136495,-0.47793588,-0.12194181,0.84690446,-0.62345034,-0.22011696,0.70802206","0.20178223,-0.73256123,0.44066858","0.102522425,-0.34537452,0.057755,-0.58734643,-0.189897,0.7486725,-0.62345034,-0.22011696,0.70802206",0.0
"0.102522425,-0.34537452,0.057755,-0.58734643,-0.189897,0.7486725,-0.62345034,-0.22011696,0.70802206","0.033198237,-0.37759447,0.36142635","0.10569262,-0.39729184,0.09658332,-0.6237851,-0.2089635,0.7018431,-0.62345034,-0.22011696,0.70802206",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.26502925,-0.0057894737,0.9501166","-0.015702128,-0.7179334,0.00837183","-0.0014994484,-0.09871216,0.00089940784,-0.21121158,0.0067841182,0.96808136,-0.26502925,-0.0057894737,0.9501166",0.0
"-0.0014994484,-0.09871216,0.00089940784,-0.21121158,0.0067841182,0.96808136,-0.26502925,-0.0057894737,0.9501166","0.098745584,-0.44106275,0.50839317","0.007930028,-0.15935603,0.055516437,-0.26417667,-0.0007918001,0.95006067,-0.26502925,-0.0057894737,0.9501166",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.0777193,-0.33040935,0.7721578","-0.9128872,0.47966814,0.73596585","-0.087174095,0.0659519,0.07906528,0.24147213,-0.061822325,0.95099044,0.0777193,-0.33040935,0.7721578",0.0
"-0.087174095,0.0659519,0.07906528,0.24147213,-0.061822325,0.95099044,0.0777193,-0.33040935,0.7721578","-0.8822736,0.07685602,0.6695094","-0.17142482,0.076519206,0.15099111,0.31177098,-0.17952614,0.8917141,0.0777193,-0.33040935,0.7721578",0.0
