uoc,state,action,next_state,reward
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.05789474,0.037894737,-0.61392003","-0.5184953,-0.98055416,-0.95442814","-0.049512547,-0.13482115,-0.102534816,-0.41155618,0.07039822,0.87816584,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.049512547,-0.13482115,-0.102534816,-0.41155618,0.07039822,0.87816584,-0.05789474,0.037894737,-0.61392003","-0.24381542,-0.9399304,-0.9409498","-0.07279515,-0.26405677,-0.20362163,-0.7043405,0.16988975,0.5763075,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.07279515,-0.26405677,-0.20362163,-0.7043405,0.16988975,0.5763075,-0.05789474,0.037894737,-0.61392003","-0.075359166,-0.93682855,-0.9525559","-0.079991415,-0.3928659,-0.3059553,-0.83991283,0.22160643,0.16521297,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.079991415,-0.3928659,-0.3059553,-0.83991283,0.22160643,0.16521297,-0.05789474,0.037894737,-0.61392003","0.31181133,-0.9711032,-0.97084665","-0.050215695,-0.52638763,-0.4102539,-0.8143767,0.13541284,-0.2615482,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.050215695,-0.52638763,-0.4102539,-0.8143767,0.13541284,-0.2615482,-0.05789474,0.037894737,-0.61392003","-0.008094728,-0.9613412,-0.9527693","-0.05098868,-0.65856713,-0.51261044,-0.6157176,0.1053465,-0.5824786,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.05098868,-0.65856713,-0.51261044,-0.6157176,0.1053465,-0.5824786,-0.05789474,0.037894737,-0.61392003","-0.15473187,-0.88881177,-0.93757766","-0.06576445,-0.78077424,-0.61333495,-0.3454461,0.07831965,-0.72911894,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.06576445,-0.78077424,-0.61333495,-0.3454461,0.07831965,-0.72911894,-0.05789474,0.037894737,-0.61392003","0.088719845,-0.79005724,-0.94388026","-0.057292346,-0.8894031,-0.7147365,-0.10113849,0.024287777,-0.7091149,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.057292346,-0.8894031,-0.7147365,-0.10113849,0.024287777,-0.7091149,-0.05789474,0.037894737,-0.61392003","-0.4796298,0.32534707,-0.57704085","-0.10309351,-0.8446696,-0.7767283,-0.08695202,0.035296973,-0.6267541,-0.05789474,0.037894737,-0.61392003",0.0
7,"-0.10309351,-0.8446696,-0.7767283,-0.08695202,0.035296973,-0.6267541,-0.05789474,0.037894737,-0.61392003","-0.29946864,-0.051605523,-0.11875117","-0.13169059,-0.85176516,-0.78948575,-0.06688283,0.03568868,-0.6126704,-0.05789474,0.037894737,-0.61392003",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.07485381,-0.0066081868,-0.29193363","-0.81605464,0.9523301,0.95461273","-0.07792729,0.1309405,0.10255464,0.39913714,-0.09374827,0.88206506,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.07792729,0.1309405,0.10255464,0.39913714,-0.09374827,0.88206506,0.07485381,-0.0066081868,-0.29193363","-0.9717846,0.90810513,0.9263606","-0.17072566,0.2558003,0.20207413,0.6152196,-0.35900113,0.59296435,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.17072566,0.2558003,0.20207413,0.6152196,-0.35900113,0.59296435,0.07485381,-0.0066081868,-0.29193363","-0.9841458,0.8794702,0.89574146","-0.26470444,0.37672296,0.29830417,0.5837868,-0.6317864,0.2111237,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.26470444,0.37672296,0.29830417,0.5837868,-0.6317864,0.2111237,0.07485381,-0.0066081868,-0.29193363","-0.9676167,0.9677706,0.8866801","-0.35710484,0.5097865,0.39356077,0.371506,-0.7578688,-0.20750919,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.35710484,0.5097865,0.39356077,0.371506,-0.7578688,-0.20750919,0.07485381,-0.0066081868,-0.29193363","-0.9728914,0.96921134,0.9712486","-0.45000887,0.6430481,0.49790257,0.10859938,-0.6487885,-0.5511841,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.45000887,0.6430481,0.49790257,0.10859938,-0.6487885,-0.5511841,0.07485381,-0.0066081868,-0.29193363","-0.98323107,0.99185085,0.9849534","-0.5439003,0.7794225,0.6037167,-0.044963893,-0.36605418,-0.7317843,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.5439003,0.7794225,0.6037167,-0.044963893,-0.36605418,-0.7317843,0.07485381,-0.0066081868,-0.29193363","-0.93264645,0.9539325,0.9748571","-0.6329613,0.9105834,0.7084461,-0.02928181,-0.08024684,-0.72110856,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.6329613,0.9105834,0.7084461,-0.02928181,-0.08024684,-0.72110856,0.07485381,-0.0066081868,-0.29193363","-0.9760356,0.27255046,0.96086323","-0.72616565,0.94805765,0.81167215,0.024385264,0.019463666,-0.58763474,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.72616565,0.94805765,0.81167215,0.024385264,0.019463666,-0.58763474,0.07485381,-0.0066081868,-0.29193363","-0.98103195,0.29364085,0.9405868","-0.8198471,0.9884318,0.91271985,0.077588186,0.042431504,-0.42730966,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.8198471,0.9884318,0.91271985,0.077588186,0.042431504,-0.42730966,0.07485381,-0.0066081868,-0.29193363","-0.9890926,0.30093813,0.8886868","-0.9142958,0.99998003,0.9999978,0.076932974,0.015223022,-0.2901532,0.07485381,-0.0066081868,-0.29193363",0.0
7,"-0.9142958,0.99998003,0.9999978,0.076932974,0.015223022,-0.2901532,0.07485381,-0.0066081868,-0.29193363","-0.99031603,0.5678153,0.56132746","-0.99999756,0.99998003,0.9999978,0.07820971,-0.005789559,-0.29014903,0.07485381,-0.0066081868,-0.29193363",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.38000003,0.5710526,-0.15444382","0.81317925,0.9090346,0.91700363","0.07765272,0.12498759,0.09851428,0.38045648,0.10066579,0.8912487,0.38000003,0.5710526,-0.15444382",0.0
7,"0.07765272,0.12498759,0.09851428,0.38045648,0.10066579,0.8912487,0.38000003,0.5710526,-0.15444382","0.8455496,0.8259088,0.87956893","0.15839657,0.2385458,0.19300693,0.5963366,0.3305268,0.6348621,0.38000003,0.5710526,-0.15444382",0.0
7,"0.15839657,0.2385458,0.19300693,0.5963366,0.3305268,0.6348621,0.38000003,0.5710526,-0.15444382","0.7579411,0.773919,0.8827281","0.23077446,0.3449557,0.28783897,0.62321013,0.55986995,0.29327047,0.38000003,0.5710526,-0.15444382",0.0
7,"0.23077446,0.3449557,0.28783897,0.62321013,0.55986995,0.29327047,0.38000003,0.5710526,-0.15444382","0.54263973,0.6746756,0.88884556","0.28259262,0.43772015,0.3833282,0.5336038,0.6649955,-0.0443995,0.38000003,0.5710526,-0.15444382",0.0
7,"0.28259262,0.43772015,0.3833282,0.5336038,0.6649955,-0.0443995,0.38000003,0.5710526,-0.15444382","0.36908984,0.015431762,0.8350979","0.317838,0.43984202,0.4730433,0.4196745,0.66217184,-0.16529259,0.38000003,0.5710526,-0.15444382",0.0
