state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.34228072,0.38040936,0.66238827","0.98914695,0.51873386,0.94329405","0.09445635,0.07132323,0.101338685,0.2746092,0.09002152,0.933875,-0.34228072,0.38040936,0.66238827",0.0
"0.09445635,0.07132323,0.101338685,0.2746092,0.09002152,0.933875,-0.34228072,0.38040936,0.66238827","0.9934125,-0.35125035,0.93724537","0.18932003,0.02302811,0.20202757,0.25605336,0.18020497,0.8905359,-0.34228072,0.38040936,0.66238827",0.0
"0.18932003,0.02302811,0.20202757,0.25605336,0.18020497,0.8905359,-0.34228072,0.38040936,0.66238827","0.96069217,-0.24394989,0.79738","0.28105915,-0.010513757,0.28769067,0.21167003,0.26672557,0.83155113,-0.34228072,0.38040936,0.66238827",0.0
"0.28105915,-0.010513757,0.28769067,0.21167003,0.26672557,0.83155113,-0.34228072,0.38040936,0.66238827","0.9456965,0.046058655,0.8256738","0.3713663,-0.0041809403,0.37639335,0.1626489,0.39505577,0.716482,-0.34228072,0.38040936,0.66238827",0.0
"0.3713663,-0.0041809403,0.37639335,0.1626489,0.39505577,0.716482,-0.34228072,0.38040936,0.66238827","0.899606,-0.3395543,0.5265709","0.45727217,-0.05086792,0.43296322,0.04651319,0.3876931,0.6855989,-0.34228072,0.38040936,0.66238827",0.0
"0.45727217,-0.05086792,0.43296322,0.04651319,0.3876931,0.6855989,-0.34228072,0.38040936,0.66238827","0.9167093,0.30006313,0.3515072","0.54481125,-0.009610794,0.47072592,-0.071757495,0.46507475,0.58736694,-0.34228072,0.38040936,0.66238827",0.0
"0.54481125,-0.009610794,0.47072592,-0.071757495,0.46507475,0.58736694,-0.34228072,0.38040936,0.66238827","0.8911717,0.4480251,-0.46685028","0.6299117,0.05199035,0.42057195,-0.2180742,0.48973036,0.58697146,-0.34228072,0.38040936,0.66238827",0.0
"0.6299117,0.05199035,0.42057195,-0.2180742,0.48973036,0.58697146,-0.34228072,0.38040936,0.66238827","0.8101264,0.013245106,-0.3800426","0.7072729,0.05381148,0.37974375,-0.31965166,0.4099082,0.6447204,-0.34228072,0.38040936,0.66238827",0.0
"0.7072729,0.05381148,0.37974375,-0.31965166,0.4099082,0.6447204,-0.34228072,0.38040936,0.66238827","0.33949792,-0.12520134,-0.04553759","0.73969245,0.036596935,0.37485167,-0.33992416,0.35421425,0.67292094,-0.34228072,0.38040936,0.66238827",0.0
"0.73969245,0.036596935,0.37485167,-0.33992416,0.35421425,0.67292094,-0.34228072,0.38040936,0.66238827","-0.42242134,-0.015636802,-0.032884598","0.69935423,0.034446947,0.3713189,-0.2892141,0.38989088,0.6804431,-0.34228072,0.38040936,0.66238827",0.0
