state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.080175444,-0.8973684,-0.36594146","-0.90253747,0.95765305,0.93619335","-0.086185776,0.13167237,0.10057584,0.3957064,-0.103831165,0.8830014,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.086185776,0.13167237,0.10057584,0.3957064,-0.103831165,0.8830014,-0.080175444,-0.8973684,-0.36594146","-0.92467725,0.94693696,0.9054054","-0.17448573,0.26187134,0.19784412,0.6159199,-0.36928645,0.5883251,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.17448573,0.26187134,0.19784412,0.6159199,-0.36928645,0.5883251,-0.080175444,-0.8973684,-0.36594146","-0.9262198,0.95606375,0.92218554","-0.262933,0.3933252,0.29691508,0.59429264,-0.63611966,0.17823306,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.262933,0.3933252,0.29691508,0.59429264,-0.63611966,0.17823306,-0.080175444,-0.8973684,-0.36594146","-0.91619647,0.85884976,0.72188056","-0.3504231,0.5114127,0.37446713,0.39418817,-0.7634054,-0.18655786,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.3504231,0.5114127,0.37446713,0.39418817,-0.7634054,-0.18655786,-0.080175444,-0.8973684,-0.36594146","-0.9016396,0.46914077,-0.31266272","-0.4365231,0.5759171,0.34087756,0.17835452,-0.8532726,-0.28001317,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.4365231,0.5759171,0.34087756,0.17835452,-0.8532726,-0.28001317,-0.080175444,-0.8973684,-0.36594146","-0.7713935,0.30639338,-0.4718597","-0.5101856,0.6180447,0.29018533,-0.022946926,-0.89772946,-0.30626485,-0.080175444,-0.8973684,-0.36594146",0.0
"-0.5101856,0.6180447,0.29018533,-0.022946926,-0.89772946,-0.30626485,-0.080175444,-0.8973684,-0.36594146","-0.19937372,0.3502121,-0.3602277","-0.52922434,0.6661971,0.25148582,-0.07744888,-0.9043102,-0.36204743,-0.080175444,-0.8973684,-0.36594146",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.26982456,-0.2845614,-0.8776547","-0.7214439,0.93745613,0.9283452","-0.06889265,0.12889539,0.09973271,0.3944816,-0.08080985,0.88645387,0.26982456,-0.2845614,-0.8776547",0.0
"-0.06889265,0.12889539,0.09973271,0.3944816,-0.08080985,0.88645387,0.26982456,-0.2845614,-0.8776547","-0.8848234,0.89635396,0.9067378","-0.15338686,0.25213948,0.19714412,0.62660605,-0.32118335,0.60618633,0.26982456,-0.2845614,-0.8776547",0.0
"-0.15338686,0.25213948,0.19714412,0.62660605,-0.32118335,0.60618633,0.26982456,-0.2845614,-0.8776547","-0.62416255,0.9193783,0.8776324","-0.21298984,0.37854928,0.2914287,0.67979795,-0.53022826,0.21798843,0.26982456,-0.2845614,-0.8776547",0.0
"-0.21298984,0.37854928,0.2914287,0.67979795,-0.53022826,0.21798843,0.26982456,-0.2845614,-0.8776547","-0.7064709,0.9121008,0.9127867","-0.28045267,0.50395846,0.38948995,0.5442426,-0.65068835,-0.19034024,0.26982456,-0.2845614,-0.8776547",0.0
"-0.28045267,0.50395846,0.38948995,0.5442426,-0.65068835,-0.19034024,0.26982456,-0.2845614,-0.8776547","0.15333998,0.90692747,0.85118294","-0.26580983,0.6286564,0.480933,0.46832475,-0.50869524,-0.51748955,0.26982456,-0.2845614,-0.8776547",0.0
"-0.26580983,0.6286564,0.480933,0.46832475,-0.50869524,-0.51748955,0.26982456,-0.2845614,-0.8776547","0.18470573,0.796957,0.65031147","-0.24817178,0.7382339,0.55079633,0.3526277,-0.34045994,-0.6989975,0.26982456,-0.2845614,-0.8776547",0.0
"-0.24817178,0.7382339,0.55079633,0.3526277,-0.34045994,-0.6989975,0.26982456,-0.2845614,-0.8776547","-0.07379943,0.7080866,-0.46662402","-0.2552191,0.8355922,0.50066656,0.30923373,-0.31121975,-0.8131219,0.26982456,-0.2845614,-0.8776547",0.0
"-0.2552191,0.8355922,0.50066656,0.30923373,-0.31121975,-0.8131219,0.26982456,-0.2845614,-0.8776547","-0.051095605,0.24281013,-0.15017831","-0.26009837,0.8689774,0.48453277,0.28794658,-0.29836223,-0.8502367,0.26982456,-0.2845614,-0.8776547",0.0
"-0.26009837,0.8689774,0.48453277,0.28794658,-0.29836223,-0.8502367,0.26982456,-0.2845614,-0.8776547","-0.01594001,0.027756691,0.03651929","-0.26162052,0.87279385,0.488456,0.27909145,-0.29174796,-0.85333,0.26982456,-0.2845614,-0.8776547",0.0
"-0.26162052,0.87279385,0.488456,0.27909145,-0.29174796,-0.85333,0.26982456,-0.2845614,-0.8776547","-0.0044603944,0.042775154,-0.010925949","-0.26204646,0.8786753,0.4872822,0.27404332,-0.2870971,-0.8593129,0.26982456,-0.2845614,-0.8776547",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.7118129,0.5466666,-0.5295825","0.940372,0.850219,0.63284266","0.089798704,0.11690075,0.06798668,0.3248244,0.10017503,0.92116964,-0.7118129,0.5466666,-0.5295825",0.0
"0.089798704,0.11690075,0.06798668,0.3248244,0.10017503,0.92116964,-0.7118129,0.5466666,-0.5295825","0.9254012,0.8425698,0.5155051","0.1781678,0.23274979,0.12336771,0.51952636,0.3323545,0.73269576,-0.7118129,0.5466666,-0.5295825",0.0
"0.1781678,0.23274979,0.12336771,0.51952636,0.3323545,0.73269576,-0.7118129,0.5466666,-0.5295825","0.8607917,0.86902595,0.5268848","0.26036716,0.35223642,0.17997128,0.5572303,0.6032324,0.44422212,-0.7118129,0.5466666,-0.5295825",0.0
"0.26036716,0.35223642,0.17997128,0.5572303,0.6032324,0.44422212,-0.7118129,0.5466666,-0.5295825","0.8994441,0.8784969,0.67248","0.34625754,0.47302523,0.25221622,0.4209092,0.81508106,0.073302284,-0.7118129,0.5466666,-0.5295825",0.0
"0.34625754,0.47302523,0.25221622,0.4209092,0.81508106,0.073302284,-0.7118129,0.5466666,-0.5295825","0.94201255,0.83511925,0.78842926","0.43621287,0.58784986,0.3369176,0.16770183,0.8547299,-0.30043864,-0.7118129,0.5466666,-0.5295825",0.0
"0.43621287,0.58784986,0.3369176,0.16770183,0.8547299,-0.30043864,-0.7118129,0.5466666,-0.5295825","0.9705429,0.18245685,0.69068635","0.5288927,0.6129368,0.41111845,-0.076996736,0.7820365,-0.43307206,-0.7118129,0.5466666,-0.5295825",0.0
"0.5288927,0.6129368,0.41111845,-0.076996736,0.7820365,-0.43307206,-0.7118129,0.5466666,-0.5295825","0.9659718,0.14259136,0.13414395","0.621136,0.63254243,0.42552957,-0.28631458,0.700079,-0.4829278,-0.7118129,0.5466666,-0.5295825",0.0
"0.621136,0.63254243,0.42552957,-0.28631458,0.700079,-0.4829278,-0.7118129,0.5466666,-0.5295825","0.89592195,0.24994242,-0.5990859","0.70669,0.6669083,0.36116937,-0.49101928,0.6372129,-0.4895903,-0.7118129,0.5466666,-0.5295825",0.0
"0.70669,0.6669083,0.36116937,-0.49101928,0.6372129,-0.4895903,-0.7118129,0.5466666,-0.5295825","0.70473576,0.5032009,-0.8127508","0.7739872,0.73609585,0.273855,-0.64243716,0.54459715,-0.5384562,-0.7118129,0.5466666,-0.5295825",0.0
"0.7739872,0.73609585,0.273855,-0.64243716,0.54459715,-0.5384562,-0.7118129,0.5466666,-0.5295825","0.297024,0.31435466,-0.7118995","0.8023508,0.77931803,0.1973751,-0.7179301,0.50642365,-0.54117525,-0.7118129,0.5466666,-0.5295825",0.0
"0.8023508,0.77931803,0.1973751,-0.7179301,0.50642365,-0.54117525,-0.7118129,0.5466666,-0.5295825","-0.017634332,0.14121878,-0.45715928","0.8006669,0.79873496,0.14826214,-0.7354118,0.5248049,-0.5216239,-0.7118129,0.5466666,-0.5295825",0.0
"0.8006669,0.79873496,0.14826214,-0.7354118,0.5248049,-0.5216239,-0.7118129,0.5466666,-0.5295825","-0.10458022,0.12940693,-0.2564566","0.7906803,0.8165278,0.12071078,-0.72379917,0.5516406,-0.52470696,-0.7118129,0.5466666,-0.5295825",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.30590644,-0.24543859,-0.8776547","-0.17161769,-0.9788821,-0.93414825","-0.016388249,-0.13459125,-0.10035613,-0.4136501,0.027112363,0.8802548,-0.30590644,-0.24543859,-0.8776547",0.0
"-0.016388249,-0.13459125,-0.10035613,-0.4136501,0.027112363,0.8802548,-0.30590644,-0.24543859,-0.8776547","0.68448246,-0.9456958,-0.87137365","0.04897485,-0.26461956,-0.19396836,-0.7119459,-0.10455376,0.5889559,-0.30590644,-0.24543859,-0.8776547",0.0
"0.04897485,-0.26461956,-0.19396836,-0.7119459,-0.10455376,0.5889559,-0.30590644,-0.24543859,-0.8776547","0.18809795,-0.9149891,-0.69707036","0.06693684,-0.3904259,-0.26885504,-0.8536099,-0.1762784,0.22806217,-0.30590644,-0.24543859,-0.8776547",0.0
"0.06693684,-0.3904259,-0.26885504,-0.8536099,-0.1762784,0.22806217,-0.30590644,-0.24543859,-0.8776547","0.4869082,-0.7901897,-0.4567194","0.11343304,-0.49907294,-0.31792068,-0.84289956,-0.30759522,-0.08266432,-0.30590644,-0.24543859,-0.8776547",0.0
