uoc,state,action,next_state,reward
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.00023391814,0.07292397,0.2237676","0.9350126,-0.5825949,0.9844794","0.08928691,-0.080103815,0.10576327,-0.0263858,-0.0015772257,0.98098797,0.00023391814,0.07292397,0.2237676",0.0
3,"0.08928691,-0.080103815,0.10576327,-0.0263858,-0.0015772257,0.98098797,0.00023391814,0.07292397,0.2237676","0.6908318,-0.3969041,0.9862808","0.1552563,-0.1346761,0.2117201,0.00027471295,0.0066989954,0.94524735,0.00023391814,0.07292397,0.2237676",0.0
3,"0.1552563,-0.1346761,0.2117201,0.00027471295,0.0066989954,0.94524735,0.00023391814,0.07292397,0.2237676","0.6198478,-0.33066118,0.9866016","0.21444725,-0.18014035,0.31771138,0.03380994,0.034398235,0.88446355,0.00023391814,0.07292397,0.2237676",0.0
3,"0.21444725,-0.18014035,0.31771138,0.03380994,0.034398235,0.88446355,0.00023391814,0.07292397,0.2237676","0.65649724,-0.39534676,0.9846052","0.27713796,-0.2344985,0.42348823,0.039976228,0.05643266,0.80154884,0.00023391814,0.07292397,0.2237676",0.0
3,"0.27713796,-0.2344985,0.42348823,0.039976228,0.05643266,0.80154884,0.00023391814,0.07292397,0.2237676","0.5938165,-0.3790586,0.9806118","0.3338431,-0.28661713,0.528836,0.038275298,0.07815166,0.698257,0.00023391814,0.07292397,0.2237676",0.0
3,"0.3338431,-0.28661713,0.528836,0.038275298,0.07815166,0.698257,0.00023391814,0.07292397,0.2237676","0.37359023,-0.3573935,0.9743587","0.36951828,-0.3357569,0.6335121,0.034474265,0.09386248,0.57740515,0.00023391814,0.07292397,0.2237676",0.0
3,"0.36951828,-0.3357569,0.6335121,0.034474265,0.09386248,0.57740515,0.00023391814,0.07292397,0.2237676","0.23841834,-0.40393722,0.9654741","0.3922855,-0.39129624,0.73723364,0.025889795,0.09100458,0.4450406,0.00023391814,0.07292397,0.2237676",0.0
3,"0.3922855,-0.39129624,0.73723364,0.025889795,0.09100458,0.4450406,0.00023391814,0.07292397,0.2237676","0.2903111,-0.43492407,0.9468298","0.4200081,-0.45109612,0.83895224,0.013594472,0.076234795,0.30557492,0.00023391814,0.07292397,0.2237676",0.0
3,"0.4200081,-0.45109612,0.83895224,0.013594472,0.076234795,0.30557492,0.00023391814,0.07292397,0.2237676","0.28131735,-0.25257826,0.5726737","0.44687185,-0.48582438,0.900475,0.0051800674,0.065595634,0.21693154,0.00023391814,0.07292397,0.2237676",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.07005848,-0.11783625,0.36001524","0.9219794,-0.9619133,0.92612314","0.08804233,-0.13225815,0.09949404,-0.14202799,-0.034299627,0.9705869,-0.07005848,-0.11783625,0.36001524",0.0
3,"0.08804233,-0.13225815,0.09949404,-0.14202799,-0.034299627,0.9705869,-0.07005848,-0.11783625,0.36001524","0.902055,-0.9517089,0.9769758","0.17418206,-0.26311326,0.2044512,-0.23353224,-0.135506,0.9048965,-0.07005848,-0.11783625,0.36001524",0.0
