uoc,state,action,next_state,reward
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.2080117,0.06526316,0.47566882","0.9907228,-0.5251194,0.90654016","0.094606824,-0.07220123,0.09739021,-0.021235906,-0.00044973294,0.9829657,-0.2080117,0.06526316,0.47566882",0.0
3,"0.094606824,-0.07220123,0.09739021,-0.021235906,-0.00044973294,0.9829657,-0.2080117,0.06526316,0.47566882","0.99088025,-0.26959187,0.9044126","0.18922868,-0.10926875,0.19455189,0.024416422,0.023495149,0.9520584,-0.2080117,0.06526316,0.47566882",0.0
3,"0.18922868,-0.10926875,0.19455189,0.024416422,0.023495149,0.9520584,-0.2080117,0.06526316,0.47566882","0.9905493,-0.20702946,0.8925029","0.28381893,-0.13773426,0.2904341,0.057074424,0.07991812,0.8974288,-0.2080117,0.06526316,0.47566882",0.0
3,"0.28381893,-0.13773426,0.2904341,0.057074424,0.07991812,0.8974288,-0.2080117,0.06526316,0.47566882","0.99283683,-0.19160283,0.8717873","0.37862766,-0.16407868,0.38409084,0.052117772,0.14555226,0.82169545,-0.2080117,0.06526316,0.47566882",0.0
3,"0.37862766,-0.16407868,0.38409084,0.052117772,0.14555226,0.82169545,-0.2080117,0.06526316,0.47566882","0.9954473,0.009088516,0.8113245","0.47368565,-0.16282909,0.47125202,0.013874655,0.23756987,0.72024983,-0.2080117,0.06526316,0.47566882",0.0
3,"0.47368565,-0.16282909,0.47125202,0.013874655,0.23756987,0.72024983,-0.2080117,0.06526316,0.47566882","0.9969741,0.18281269,0.6968703","0.56888944,-0.1376933,0.5461173,-0.07525153,0.31529477,0.5994112,-0.2080117,0.06526316,0.47566882",0.0
3,"0.56888944,-0.1376933,0.5461173,-0.07525153,0.31529477,0.5994112,-0.2080117,0.06526316,0.47566882","0.9954119,-0.0026592016,0.71513057","0.66394407,-0.13805893,0.62294424,-0.17695197,0.3008784,0.48342898,-0.2080117,0.06526316,0.47566882",0.0
3,"0.66394407,-0.13805893,0.62294424,-0.17695197,0.3008784,0.48342898,-0.2080117,0.06526316,0.47566882","0.94923234,-0.3289578,0.21472633","0.7545889,-0.18328895,0.6460124,-0.21968554,0.20536678,0.48365405,-0.2080117,0.06526316,0.47566882",0.0
3,"0.7545889,-0.18328895,0.6460124,-0.21968554,0.20536678,0.48365405,-0.2080117,0.06526316,0.47566882","0.82911575,-0.5314874,0.3269645","0.8337634,-0.25636575,0.6811385,-0.19774927,0.10713325,0.47667524,-0.2080117,0.06526316,0.47566882",0.0
3,"0.8337634,-0.25636575,0.6811385,-0.19774927,0.10713325,0.47667524,-0.2080117,0.06526316,0.47566882","0.6026294,-0.12495279,0.04914403","0.89131016,-0.27354616,0.6864181,-0.19663118,0.06373338,0.4777092,-0.2080117,0.06526316,0.47566882",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.00076023396,-0.0058479533,0.23331277","0.95662,-0.96260375,0.98569727","0.09135026,-0.13235308,0.105894126,-0.13328695,-0.033301394,0.970573,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.09135026,-0.13235308,0.105894126,-0.13328695,-0.033301394,0.970573,0.00076023396,-0.0058479533,0.23331277","0.97458756,-0.80745053,0.97739637","0.18441626,-0.24337342,0.21089648,-0.18835878,-0.116317,0.91644967,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.18441626,-0.24337342,0.21089648,-0.18835878,-0.116317,0.91644967,0.00076023396,-0.0058479533,0.23331277","0.9602423,-0.40078318,0.98277116","0.27611244,-0.2984791,0.31647626,-0.12364129,-0.13684386,0.86534995,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.27611244,-0.2984791,0.31647626,-0.12364129,-0.13684386,0.86534995,0.00076023396,-0.0058479533,0.23331277","0.9511051,-0.40533513,0.9833188","0.36693606,-0.35421064,0.4221149,-0.06520321,-0.13252373,0.79110587,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.36693606,-0.35421064,0.4221149,-0.06520321,-0.13252373,0.79110587,0.00076023396,-0.0058479533,0.23331277","0.9552604,-0.5732522,0.9840839","0.4581565,-0.43302992,0.5278357,-0.025145564,-0.14602134,0.6882364,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.4581565,-0.43302992,0.5278357,-0.025145564,-0.14602134,0.6882364,0.00076023396,-0.0058479533,0.23331277","0.9443916,-0.32061315,0.9711602","0.548339,-0.47711262,0.6321681,0.008664361,-0.09488094,0.57986325,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.548339,-0.47711262,0.6321681,0.008664361,-0.09488094,0.57986325,0.00076023396,-0.0058479533,0.23331277","0.9304452,-0.35954517,0.9593631","0.63718975,-0.52654827,0.7352332,0.018901145,-0.054961987,0.45386896,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.63718975,-0.52654827,0.7352332,0.018901145,-0.054961987,0.45386896,0.00076023396,-0.0058479533,0.23331277","0.9023309,-0.2935254,0.94235444","0.72335577,-0.5669066,0.83647096,0.009463563,-0.02016537,0.31716415,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.72335577,-0.5669066,0.83647096,0.009463563,-0.02016537,0.31716415,0.00076023396,-0.0058479533,0.23331277","0.8710375,-0.18738616,0.5710485","0.8065336,-0.5926713,0.89781916,0.0022066573,-0.008587456,0.22869061,0.00076023396,-0.0058479533,0.23331277",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.009064328,-0.039473683,0.52215254","0.9653225,-0.8806664,0.94693816","0.09218128,-0.12108711,0.101730205,-0.11579482,-0.028463122,0.9741829,0.009064328,-0.039473683,0.52215254",0.0
3,"0.09218128,-0.12108711,0.101730205,-0.11579482,-0.028463122,0.9741829,0.009064328,-0.039473683,0.52215254","0.9790193,-0.5890993,0.95549667","0.1856705,-0.20208527,0.20437987,-0.12519422,-0.07567942,0.93592155,0.009064328,-0.039473683,0.52215254",0.0
3,"0.1856705,-0.20208527,0.20437987,-0.12519422,-0.07567942,0.93592155,0.009064328,-0.039473683,0.52215254","0.9441118,-0.3352809,0.9618331","0.2758263,-0.24818474,0.3077103,-0.06817455,-0.07130214,0.8864385,0.009064328,-0.039473683,0.52215254",0.0
3,"0.2758263,-0.24818474,0.3077103,-0.06817455,-0.07130214,0.8864385,0.009064328,-0.039473683,0.52215254","0.95453286,-0.45906126,0.9655738","0.36697727,-0.31130335,0.41144258,-0.039424483,-0.074518286,0.8103094,0.009064328,-0.039473683,0.52215254",0.0
3,"0.36697727,-0.31130335,0.41144258,-0.039424483,-0.074518286,0.8103094,0.009064328,-0.039473683,0.52215254","0.94755864,-0.5400929,0.96138334","0.45746222,-0.3855634,0.5147247,-0.017418223,-0.086116634,0.71282595,0.009064328,-0.039473683,0.52215254",0.0
3,"0.45746222,-0.3855634,0.5147247,-0.017418223,-0.086116634,0.71282595,0.009064328,-0.039473683,0.52215254","0.8884876,-0.44296467,0.9345603","0.54230636,-0.4464688,0.6151251,0.0035792633,-0.0704555,0.603875,0.009064328,-0.039473683,0.52215254",0.0
3,"0.54230636,-0.4464688,0.6151251,0.0035792633,-0.0704555,0.603875,0.009064328,-0.039473683,0.52215254","0.68937516,-0.13385952,0.5091641","0.60813665,-0.46487388,0.66982496,0.008510608,-0.041453473,0.5401589,0.009064328,-0.039473683,0.52215254",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.070701756,0.017660819,0.2237676","0.9713836,-0.91401935,0.98039126","0.09276007,-0.12567298,0.1053241,-0.12029406,-0.030038757,0.9727124,-0.070701756,0.017660819,0.2237676",0.0
3,"0.09276007,-0.12567298,0.1053241,-0.12029406,-0.030038757,0.9727124,-0.070701756,0.017660819,0.2237676","0.992486,-0.79503286,0.98007786","0.18753527,-0.23498593,0.21061453,-0.17342831,-0.10894626,0.9208373,-0.070701756,0.017660819,0.2237676",0.0
