state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.8024562,0.26935673,-0.31978464","0.7286061,0.9128895,0.8920069","0.0695766,0.1255176,0.09582886,0.38077694,0.09051244,0.89291304,0.8024562,0.26935673,-0.31978464",0.0
"0.0695766,0.1255176,0.09582886,0.38077694,0.09051244,0.89291304,0.8024562,0.26935673,-0.31978464","0.56216145,0.8748764,0.90468454","0.12325894,0.24580862,0.19301967,0.63892835,0.2668203,0.62267196,0.8024562,0.26935673,-0.31978464",0.0
"0.12325894,0.24580862,0.19301967,0.63892835,0.2668203,0.62267196,0.8024562,0.26935673,-0.31978464","-0.015159607,0.8912525,0.87879324","0.1218113,0.36835128,0.28742898,0.7914016,0.32480037,0.24558648,0.8024562,0.26935673,-0.31978464",0.0
"0.1218113,0.36835128,0.28742898,0.7914016,0.32480037,0.24558648,0.8024562,0.26935673,-0.31978464","0.028530002,0.9113449,0.79234457","0.1245357,0.49365655,0.37255102,0.7949138,0.33416998,-0.14675316,0.8024562,0.26935673,-0.31978464",0.0
"0.1245357,0.49365655,0.37255102,0.7949138,0.33416998,-0.14675316,0.8024562,0.26935673,-0.31978464","-0.26088,0.5947449,0.07592571","0.09962356,0.575431,0.38070774,0.7939574,0.26302016,-0.3268165,0.8024562,0.26935673,-0.31978464",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.23140351,-0.5131579,-0.24335782","-0.85457087,0.96808505,0.8362415","-0.08160531,0.13310671,0.089837946,0.38755262,-0.09560816,0.8904153,0.23140351,-0.5131579,-0.24335782",0.0
"-0.08160531,0.13310671,0.089837946,0.38755262,-0.09560816,0.8904153,0.23140351,-0.5131579,-0.24335782","-0.7781796,0.95493555,0.8484684","-0.15591581,0.26440546,0.18098943,0.6301663,-0.32942075,0.60738987,0.23140351,-0.5131579,-0.24335782",0.0
"-0.15591581,0.26440546,0.18098943,0.6301663,-0.32942075,0.60738987,0.23140351,-0.5131579,-0.24335782","-0.7580502,0.89980567,0.83031106","-0.2283041,0.3881241,0.27019027,0.65944505,-0.56748325,0.23086824,0.23140351,-0.5131579,-0.24335782",0.0
"-0.2283041,0.3881241,0.27019027,0.65944505,-0.56748325,0.23086824,0.23140351,-0.5131579,-0.24335782","-0.85238993,0.7005495,0.8423066","-0.30970114,0.48444608,0.3606798,0.49487332,-0.71643233,-0.11120417,0.23140351,-0.5131579,-0.24335782",0.0
"-0.30970114,0.48444608,0.3606798,0.49487332,-0.71643233,-0.11120417,0.23140351,-0.5131579,-0.24335782","-0.5886779,-0.018052995,0.81662095","-0.3659156,0.48196393,0.4484099,0.33264837,-0.72826725,-0.21785842,0.23140351,-0.5131579,-0.24335782",0.0
"-0.3659156,0.48196393,0.4484099,0.33264837,-0.72826725,-0.21785842,0.23140351,-0.5131579,-0.24335782","0.0022844076,-0.19773388,0.7709205","-0.36569744,0.45477661,0.5312304,0.30119923,-0.65686536,-0.2554723,0.23140351,-0.5131579,-0.24335782",0.0
"-0.36569744,0.45477661,0.5312304,0.30119923,-0.65686536,-0.2554723,0.23140351,-0.5131579,-0.24335782","0.008128047,-0.38349354,0.7650883","-0.36492127,0.4020483,0.6134243,0.26957795,-0.5825983,-0.24093707,0.23140351,-0.5131579,-0.24335782",0.0
"-0.36492127,0.4020483,0.6134243,0.26957795,-0.5825983,-0.24093707,0.23140351,-0.5131579,-0.24335782","-0.02661413,-0.38434148,0.6975008","-0.36746275,0.34920338,0.68835723,0.23257165,-0.51158935,-0.21977922,0.23140351,-0.5131579,-0.24335782",0.0
"-0.36746275,0.34920338,0.68835723,0.23257165,-0.51158935,-0.21977922,0.23140351,-0.5131579,-0.24335782","0.006943822,0.054184318,0.03445673","-0.36679965,0.3566535,0.6920589,0.2311015,-0.5054025,-0.23241769,0.23140351,-0.5131579,-0.24335782",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.62292403,0.6852047,-0.1823602","0.8119323,0.88681006,0.87834334","0.07753365,0.12193182,0.094360985,0.3698042,0.097866766,0.8974665,0.62292403,0.6852047,-0.1823602",0.0
"0.07753365,0.12193182,0.094360985,0.3698042,0.097866766,0.8974665,0.62292403,0.6852047,-0.1823602","0.78156483,0.82307935,0.7843094","0.15216742,0.23510103,0.17861983,0.5890262,0.31171417,0.6598422,0.62292403,0.6852047,-0.1823602",0.0
"0.15216742,0.23510103,0.17861983,0.5890262,0.31171417,0.6598422,0.62292403,0.6852047,-0.1823602","0.74900115,0.8648076,0.72983694","0.22369158,0.35400763,0.25702667,0.6396969,0.54940957,0.32274222,0.62292403,0.6852047,-0.1823602",0.0
"0.22369158,0.35400763,0.25702667,0.6396969,0.54940957,0.32274222,0.62292403,0.6852047,-0.1823602","0.55982554,0.90470743,0.7276325","0.27715087,0.4784003,0.33519664,0.56632566,0.6812157,-0.062462002,0.62292403,0.6852047,-0.1823602",0.0
"0.27715087,0.4784003,0.33519664,0.56632566,0.6812157,-0.062462002,0.62292403,0.6852047,-0.1823602","-0.10876453,0.60593426,-0.45068693","0.26676464,0.5617132,0.28677905,0.60706633,0.6832909,-0.1769983,0.62292403,0.6852047,-0.1823602",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.8464328,-0.0057894737,-0.31978464","0.70476925,0.92530525,0.88330233","0.06730035,0.12722471,0.094893724,0.38361248,0.08825893,0.8920317,0.8464328,-0.0057894737,-0.31978464",0.0
"0.06730035,0.12722471,0.094893724,0.38361248,0.08825893,0.8920317,0.8464328,-0.0057894737,-0.31978464","0.22810745,0.90308356,0.92328","0.089082964,0.2513941,0.19408226,0.6722128,0.19922127,0.61171377,0.8464328,-0.0057894737,-0.31978464",0.0
"0.089082964,0.2513941,0.19408226,0.6722128,0.19922127,0.61171377,0.8464328,-0.0057894737,-0.31978464","-0.5026984,0.88396263,0.86321664","0.04107891,0.37293443,0.28681818,0.8508018,0.11625,0.23695797,0.8464328,-0.0057894737,-0.31978464",0.0
"0.04107891,0.37293443,0.28681818,0.8508018,0.11625,0.23695797,0.8464328,-0.0057894737,-0.31978464","-0.5344884,0.90556026,0.8878542","-0.009960851,0.49744433,0.3822009,0.85454667,-0.020957293,-0.16741304,0.8464328,-0.0057894737,-0.31978464",0.0
"-0.009960851,0.49744433,0.3822009,0.85454667,-0.020957293,-0.16741304,0.8464328,-0.0057894737,-0.31978464","0.060656667,0.5614425,-0.108005345","-0.004168578,0.5746398,0.3705978,0.84612876,-0.0052914782,-0.3134643,0.8464328,-0.0057894737,-0.31978464",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.17491229,-0.384269,-0.28866473","-0.8073005,0.9619224,0.8197658","-0.077091336,0.13225938,0.088067956,0.38518798,-0.08919342,0.8926521,0.17491229,-0.384269,-0.28866473",0.0
"-0.077091336,0.13225938,0.088067956,0.38518798,-0.08919342,0.8926521,0.17491229,-0.384269,-0.28866473","-0.64822334,0.94417477,0.87466","-0.13899195,0.26207858,0.18203323,0.64441293,-0.29436067,0.60998005,0.17491229,-0.384269,-0.28866473",0.0
"-0.13899195,0.26207858,0.18203323,0.64441293,-0.29436067,0.60998005,0.17491229,-0.384269,-0.28866473","-0.650191,0.90238225,0.8396101","-0.20108049,0.38615152,0.27223307,0.70435256,-0.50823164,0.2318636,0.17491229,-0.384269,-0.28866473",0.0
"-0.20108049,0.38615152,0.27223307,0.70435256,-0.50823164,0.2318636,0.17491229,-0.384269,-0.28866473","-0.7812154,0.5204952,0.82493746","-0.2756809,0.45771697,0.36085662,0.5672199,-0.65807855,-0.054728102,0.17491229,-0.384269,-0.28866473",0.0
"-0.2756809,0.45771697,0.36085662,0.5672199,-0.65807855,-0.054728102,0.17491229,-0.384269,-0.28866473","-0.40691233,0.49245644,0.64629424","-0.31453806,0.5254273,0.4302884,0.44873822,-0.6704644,-0.28250954,0.17491229,-0.384269,-0.28866473",0.0
"-0.31453806,0.5254273,0.4302884,0.44873822,-0.6704644,-0.28250954,0.17491229,-0.384269,-0.28866473","-0.4606672,-0.36441708,0.7811551","-0.35852844,0.47532183,0.5142084,0.32139993,-0.661432,-0.27556732,0.17491229,-0.384269,-0.28866473",0.0
"-0.35852844,0.47532183,0.5142084,0.32139993,-0.661432,-0.27556732,0.17491229,-0.384269,-0.28866473","-0.31711268,-0.28884876,0.58957136","-0.38881037,0.4356067,0.5775464,0.23659502,-0.63263,-0.264892,0.17491229,-0.384269,-0.28866473",0.0
"-0.38881037,0.4356067,0.5775464,0.23659502,-0.63263,-0.264892,0.17491229,-0.384269,-0.28866473","0.0860796,0.055203915,0.34937","-0.3805904,0.44319698,0.6150794,0.23526381,-0.58164734,-0.30593216,0.17491229,-0.384269,-0.28866473",0.0
"-0.3805904,0.44319698,0.6150794,0.23526381,-0.58164734,-0.30593216,0.17491229,-0.384269,-0.28866473","0.30552125,0.09597123,0.19613636","-0.35141537,0.4563926,0.6361505,0.27301884,-0.52890986,-0.33881533,0.17491229,-0.384269,-0.28866473",0.0
"-0.35141537,0.4563926,0.6361505,0.27301884,-0.52890986,-0.33881533,0.17491229,-0.384269,-0.28866473","-0.026897907,-0.34943753,0.55153334","-0.35398394,0.40834677,0.695402,0.24262513,-0.478212,-0.30322197,0.17491229,-0.384269,-0.28866473",0.0
"-0.35398394,0.40834677,0.695402,0.24262513,-0.478212,-0.30322197,0.17491229,-0.384269,-0.28866473","-0.05329311,-0.25562274,0.50835145","-0.35907304,0.37320003,0.75001454,0.20862365,-0.42650643,-0.28266266,0.17491229,-0.384269,-0.28866473",0.0
"-0.35907304,0.37320003,0.75001454,0.20862365,-0.42650643,-0.28266266,0.17491229,-0.384269,-0.28866473","-0.00039321184,-0.042089224,0.15829158","-0.35911062,0.36741304,0.7670199,0.1994344,-0.40724942,-0.2817862,0.17491229,-0.384269,-0.28866473",0.0
"-0.35911062,0.36741304,0.7670199,0.1994344,-0.40724942,-0.2817862,0.17491229,-0.384269,-0.28866473","0.009101391,-0.013243556,0.078659415","-0.35824153,0.36559218,0.7754703,0.19580404,-0.39676964,-0.28226483,0.17491229,-0.384269,-0.28866473",0.0
"-0.35824153,0.36559218,0.7754703,0.19580404,-0.39676964,-0.28226483,0.17491229,-0.384269,-0.28866473","0.010771036,-0.008123755,0.051024437","-0.35721296,0.36447525,0.7809519,0.1939704,-0.38966316,-0.28253374,0.17491229,-0.384269,-0.28866473",0.0
"-0.35721296,0.36447525,0.7809519,0.1939704,-0.38966316,-0.28253374,0.17491229,-0.384269,-0.28866473","0.0056260824,-0.0053705573,0.03375244","-0.35667574,0.3637369,0.78457797,0.19255632,-0.38504997,-0.28266278,0.17491229,-0.384269,-0.28866473",0.0
"-0.35667574,0.3637369,0.78457797,0.19255632,-0.38504997,-0.28266278,0.17491229,-0.384269,-0.28866473","0.0025515556,-0.0020741224,0.020194769","-0.35643208,0.36345178,0.7867475,0.1915863,-0.3822909,-0.282885,0.17491229,-0.384269,-0.28866473",0.0
"-0.35643208,0.36345178,0.7867475,0.1915863,-0.3822909,-0.282885,0.17491229,-0.384269,-0.28866473","0.00094640255,0.00055873394,0.009971499","-0.35634172,0.36352864,0.78781873,0.19103889,-0.3808836,-0.28321478,0.17491229,-0.384269,-0.28866473",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.66456145,-0.0057894737,0.3481818","0.3405633,0.8692696,0.8161864","0.03252133,0.1195201,0.08768342,0.36707458,0.043454163,0.9048358,0.66456145,-0.0057894737,0.3481818",0.0
